Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.ofcoder.klein.consensus.facade.sm.SMApplier$Task,innerclass,10 -> 11,3a28f2e4a93f6f196b00c0abc4a35e19081de25c -> a80c9c74640f96755975757cc0a47f58476b4f4b,"['https://github.com/shihuili1218/klein/commit/3a28f2e4a93f6f196b00c0abc4a35e19081de25c', 'https://github.com/shihuili1218/klein/commit/a80c9c74640f96755975757cc0a47f58476b4f4b']",0,0,0,23,4.0,4.0,1.0,1.0,0.0,0.0,43.0,41.0,0.0,0.0,0.0,0.0,5.0,5.0,Task[  ] createApplyTask[  ] createReplayTask[  ] createTakeSnapTask[  ] createLoadSnapTask[  ] ,"klein-consensus/klein-consensus-facade/src/main/java/com/ofcoder/klein/consensus/facade/sm/SMApplier.java: [Extract Class(5), Change Parameter Type(4), Change Variable Type(4), Move Attribute(3), Move Method(3), Move Class(2), Change Class Access Modifier(2), Rename Parameter(2), Add Parameter(2), Rename Variable(2), Remove Attribute Modifier(1), Remove Method Annotation(1), Move And Rename Method(1)]"
com.ofcoder.klein.consensus.paxos.core.ProposerImpl$AcceptCallback,innerclass,10 -> 11,3a28f2e4a93f6f196b00c0abc4a35e19081de25c -> a80c9c74640f96755975757cc0a47f58476b4f4b,"['https://github.com/shihuili1218/klein/commit/8c3be34865096abc23aeae1263d09ceb8238d748', 'https://github.com/shihuili1218/klein/commit/3a28f2e4a93f6f196b00c0abc4a35e19081de25c', 'https://github.com/shihuili1218/klein/commit/a80c9c74640f96755975757cc0a47f58476b4f4b', 'https://github.com/shihuili1218/klein/commit/9bc4db6fb05459f7172c6c45c7640b15303cf7f4']",0,0,0,23,10.0,9.0,1.0,1.0,1.0,1.0,29.0,29.0,0.0,0.0,17.0,16.0,4.0,4.0,learn[ getInstanceId():3 debug():1 learn():1 getDone():1 negotiationDone():1 getGrantedProposalNo():1 getDataWithCallback():1 getId():1 execute():1 remove():1 getLearner():1 ] granted[ getInstanceId():3 getDataWithCallback():3 forEach():2 getDone():2 isDataChange():2 debug():1 negotiationDone():1 getGrantedProposalNo():1 execute():1 remove():1 getLearner():1 applyDone():1 confirm():1 getConsensusChecksum():1 ] ,"klein-consensus/klein-consensus-paxos/src/main/java/com/ofcoder/klein/consensus/paxos/core/ProposerImpl.java: [Extract Method(50), Change Variable Type(12), Change Parameter Type(8), Inline Method(7), Rename Parameter(4), Add Parameter(3), Rename Method(2), Rename Attribute(2), Change Attribute Type(2)]"
com.ofcoder.klein.consensus.facade.sm.SMApplier,class,10 -> 11,3a28f2e4a93f6f196b00c0abc4a35e19081de25c -> a80c9c74640f96755975757cc0a47f58476b4f4b,"['https://github.com/shihuili1218/klein/commit/3a28f2e4a93f6f196b00c0abc4a35e19081de25c', 'https://github.com/shihuili1218/klein/commit/a80c9c74640f96755975757cc0a47f58476b4f4b', 'https://github.com/shihuili1218/klein/commit/d660108f05b2b5724a16fad5b47edb5d375fbe13', 'https://github.com/shihuili1218/klein/commit/6d1e829471d41138df146f846b264a926b30d98d', 'https://github.com/shihuili1218/klein/commit/de11d0a58de0887d05518fdc45d3e600cd051b13', 'https://github.com/shihuili1218/klein/commit/9bc4db6fb05459f7172c6c45c7640b15303cf7f4']",17,7,10,23,11.0,11.0,1.0,1.0,0.0,0.0,151.0,149.0,0.0,0.0,40.0,40.0,22.0,21.0,offer[ offer():1 size():1 error():1 ] getLastCheckpoint[  ] getLastAppliedId[  ] _takeSnap[ getCheckpoint():2 saveSnap():1 getLastSnap():1 makeImage():1 onTakeSnap():1 info():1 ] _apply[ filter():2 debug():1 apply():1 forEach():1 getGrantedValue():1 toList():1 put():1 stream():1 equals():1 getGroup():1 getInstance():1 collect():1 getData():1 onApply():1 ] _loadSnap[ getCheckpoint():10 warn():2 saveSnap():1 onLoadSnap():1 getLastSnap():1 loadImage():1 removeIf():1 info():1 ] SMApplier[ getExtensionLoader():1 getJoin():1 take():1 warn():1 comparingLong():1 newFixedThreadPool():1 _takeSnap():1 _apply():1 create():1 _loadSnap():1 getMessage():1 execute():1 ] close[ close():1 ] ,"klein-consensus/klein-consensus-facade/src/main/java/com/ofcoder/klein/consensus/facade/sm/SMApplier.java: [Extract Class(5), Change Parameter Type(4), Change Variable Type(4), Move Attribute(3), Move Method(3), Move Class(2), Change Class Access Modifier(2), Rename Parameter(2), Add Parameter(2), Rename Variable(2), Remove Attribute Modifier(1), Remove Method Annotation(1), Move And Rename Method(1)]"
com.ofcoder.klein.consensus.paxos.core.sm.MasterSM,class,19 -> 20,de11d0a58de0887d05518fdc45d3e600cd051b13 -> 39a22f256521422a620addd21213892ab8810f28,"['https://github.com/shihuili1218/klein/commit/8c3be34865096abc23aeae1263d09ceb8238d748', 'https://github.com/shihuili1218/klein/commit/de11d0a58de0887d05518fdc45d3e600cd051b13', 'https://github.com/shihuili1218/klein/commit/39a22f256521422a620addd21213892ab8810f28', 'https://github.com/shihuili1218/klein/commit/9bc4db6fb05459f7172c6c45c7640b15303cf7f4']",2,1,1,13,6.0,7.0,2.0,2.0,10.0,10.0,25.0,27.0,0.0,0.0,9.0,7.0,6.0,6.0,apply[ getClass():2 getSimpleName():2 changeMember():1 error():1 electMaster():1 info():1 ] changeMember[ effectiveNewConfig():1 getVersion():1 getNewConfig():1 ] MasterSM[ getInstance():1 getMemberConfiguration():1 ] makeImage[ getInstance():1 createRef():1 getMemberConfiguration():1 ] electMaster[  ] loadImage[ loadSnap():1 getInstance():1 info():1 ] ,klein-consensus/klein-consensus-paxos/src/main/java/com/ofcoder/klein/consensus/paxos/core/sm/MasterSM.java: [Move Method(1)]
com.ofcoder.klein.consensus.paxos.core.DataAligner,class,10 -> 11,3a28f2e4a93f6f196b00c0abc4a35e19081de25c -> a80c9c74640f96755975757cc0a47f58476b4f4b,"['https://github.com/shihuili1218/klein/commit/3a28f2e4a93f6f196b00c0abc4a35e19081de25c', 'https://github.com/shihuili1218/klein/commit/a80c9c74640f96755975757cc0a47f58476b4f4b', 'https://github.com/shihuili1218/klein/commit/819e564ec65dd3b519242614093c80ef965d113e', 'https://github.com/shihuili1218/klein/commit/9bc4db6fb05459f7172c6c45c7640b15303cf7f4']",0,0,0,23,31.0,26.0,1.0,1.0,0.0,0.0,199.0,136.0,0.0,0.0,83.0,52.0,32.0,15.0,init[ getExtensionLoader():2 getJoin():2 ] alignData[ offer():2 getLastCheckpoint():2 getLastAppliedInstanceId():2 getLearner():2 alignData():1 getNodeId():1 getId():1 getEndpointById():1 info():1 ] learn[ offer():1 ] _snapSync[ getId():2 stream():2 getImages():2 learned():2 getLearner():2 checkpoint():1 getSelf():1 values():1 error():1 memberConfigurationVersion():1 sendRequestSync():1 info():1 getVersion():1 getLastCheckpoint():1 comparingLong():1 max():1 forEach():1 aSnapSyncReq():1 getMessage():1 orElse():1 removeIf():1 proposalNo():1 filter():1 build():1 getCurProposalNo():1 getCheckpoint():1 loadSnapSync():1 nodeId():1 ] handleLearnRequest[ getInstanceId():7 debug():3 result():3 build():3 getLastCheckpoint():2 instance():2 getLearner():2 getState():2 getInstance():2 aLearnRes():1 getRetry():1 getNodeId():1 getRoundTimeout():1 getProposer():1 getSelf():1 getMessage():1 getId():1 getCurInstanceId():1 allowBoost():1 tryBoost():1 await():1 countDown():1 nodeId():1 info():1 ] DataAligner[ take():1 warn():1 comparingLong():1 newFixedThreadPool():1 _snapSync():1 _learn():1 create():1 getMessage():1 getInstance():1 getMemberConfiguration():1 execute():1 ] _learn[ getId():2 sendRequestAsync():1 getState():1 instanceId():1 learned():1 build():1 aLearnReq():1 getSelf():1 getInstance():1 nodeId():1 info():1 ] handleSnapSyncRequest[ getLearner():2 getCheckpoint():2 checkpoint():1 images():1 getLastCheckpoint():1 getNodeId():1 getLastSnap():1 aSnapSyncRes():1 put():1 build():1 getGroups():1 info():1 getImages():1 ] ,"klein-consensus/klein-consensus-paxos/src/main/java/com/ofcoder/klein/consensus/paxos/core/DataAligner.java: [Extract Class(4), Move Method(4), Remove Method Annotation(4), Add Parameter(4), Change Parameter Type(2), Move And Rename Method(2), Change Return Type(2), Move Class(1), Move Attribute(1), Change Method Access Modifier(1)]"
