Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
io.github.hpsocket.soa.framework.web.advice.RequestContext,class,13 -> 48,e449a47d4001f13f7b07420af601b56de4e06302 -> d80ea207a6116622a8b449db61cb26168998ad19,"['https://github.com/ldcsaa/hp-soa/commit/8f73ef6e7b0159f7aa83330e681af786e2a185b8', 'https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/3fab781f712c4b17e3dc0656702ec46c02a9153f', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,98,10.0,10.0,1.0,1.0,406.0,378.0,122.0,118.0,0.0,0.0,55.0,52.0,33.0,32.0,sendServletResponseError[ getServletResponse():1 sendError():1 ] getClientId[ getClientId():1 getRequestAttribute():1 ] getServletResponse[ getServletRequestAttributes():1 getResponse():1 ] getAppCode[ getAppCode():1 getRequestAttribute():1 ] getSrcAppCode[ getSrcAppCode():1 getRequestAttribute():1 ] parseRequestField[ isStrEmpty():2 getValue():1 get():1 getCookie():1 getHeader():1 ] getGroupId[ getRequestAttribute():1 getGroupId():1 ] setAttribute[ setAttribute():1 getServletRequestAttributes():1 ] getAttribute[ getServletRequestAttributes():1 getAttribute():1 ] getTimestamp[ getTimestamp():1 getRequestAttribute():1 ] removeAttribute[ getServletRequestAttributes():1 removeAttribute():1 ] getRequestId[ getRequestAttribute():1 getRequestId():1 ] getVersion[ getVersion():1 getRequestAttribute():1 ] setServletResponseStatus[ getServletResponse():1 setStatus():1 ] getRequestUri[ getRequestUri():1 getRequestAttribute():1 ] getBody[ getBody():1 getRequestAttribute():1 ] removeRequestAttribute[ removeAttribute():1 ] setBody[ getRequestAttribute():1 setBody():1 ] getRequestMethod[ getRequestAttribute():1 getRequestMethod():1 ] parseRequestAttribute[ parseRequestField():9 getValue():2 isStrEmpty():2 getIpAddr():1 setRequestMethod():1 setRequestUri():1 getRequestUri():1 setVersion():1 checkUserAgent():1 checkClientCookie():1 setClientAddr():1 getRequestMethod():1 parseRequestInfo():1 addCookie():1 setRequestPath():1 currentTimeMillis():1 getUserAgent():1 setRequestAttribute():1 randomUUID():1 str2Long():1 getFlag():1 setExtra():1 setTimestamp():1 getRequestPath():1 ] getServletRequestAttributes[ getRequestAttributes():1 ] getToken[ getToken():1 getRequestAttribute():1 ] setRequestAttribute[ setAttribute():1 ] getRequestAttribute[ getAttribute():1 ] getServletRequest[ getServletRequestAttributes():1 getRequest():1 ] getSessionId[ getRequestAttribute():1 getSessionId():1 ] getUserId[ getRequestAttribute():1 getUserId():1 ] getExtra[ getRequestAttribute():1 getExtra():1 ] getClientAddr[ getRequestAttribute():1 getClientAddr():1 ] getRequestPath[ getRequestAttribute():1 getRequestPath():1 ] ,"hp-soa-framework/hp-soa-framework-web/src/main/java/io/github/hpsocket/soa/framework/web/advice/RequestContext.java: [Change Method Access Modifier(1), Add Method Modifier(1), Move Method(1)]"
io.github.hpsocket.soa.starter.sentinel.exception.DefaultSentinelBlockExceptionHandler,class,49 -> 55,f8782ebae5f5e658143cc35bb21ee788aee44ecf -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/f8782ebae5f5e658143cc35bb21ee788aee44ecf', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/539c8ba67408833e81cf540c7c4df46cb5eb43aa']",0,0,0,159,10.0,9.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,1.0,13.0,13.0,3.0,3.0,handle[ print():1 wrapServiceException():1 toJSONString():1 flush():1 logServiceException():1 getWriter():1 calcTimestamp():1 setContentType():1 setStatus():1 setCostTime():1 ] ,"hp-soa-starter/hp-soa-starter-sentinel/src/main/java/io/github/hpsocket/soa/starter/sentinel/exception/DefaultSentinelBlockExceptionHandler.java: [Extract Method(6), Change Thrown Exception Type(4)]"
io.github.hpsocket.soa.starter.mqtt.config.SoaAbstractMqttConfig,class,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/5c6ec1b471c48a165049f46327e57ad3d46e5115', 'https://github.com/ldcsaa/hp-soa/commit/981acb069af9d37ab6e33507383be628d4c098bc', 'https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,159,14.0,12.0,1.0,1.0,0.0,0.0,45.0,45.0,3.0,3.0,24.0,24.0,14.0,14.0,SoaAbstractMqttConfig[  ] mqttClient[ getIfUnique():4 setMessageListener():1 parseSocketFactory():1 getClientId():1 setMqttClient():1 setCallback():1 parseMessageListener():1 getServerURIs():1 customize():1 parseClientId():1 setTimeToWait():1 getSubscribes():1 isManualAcks():1 getTimeToWait():1 setSubscribes():1 setManualAcks():1 connect():1 mqttCallback():1 ] parseSocketFactory[ isStrNotEmpty():3 getSslCaCertPath():3 getSocketFactory():2 getSslClientCertPath():2 getSslClientKeyPath():2 setSocketFactory():2 getSSLHostnameVerifier():1 getSingleSocketFactory():1 getSslKeyPassword():1 getMessage():1 setSSLHostnameVerifier():1 ] mqttClientPersistence[ getProperty():1 getDataDir():1 isStrEmpty():1 ] mqttMessagePublisher[  ] parseMessageListener[ isNotNullOrEmpty():1 getSubscribes():1 getIfUnique():1 getBean():1 ] parseClientId[ indexOf():3 replaceAll():3 random():2 getClientId():1 getAddress():1 getPid():1 isStrEmpty():1 setClientId():1 ] mqttCallback[  ] ,"hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/config/SoaAbstractMqttConfig.java: [Inline Method(28), Extract Variable(6), Extract Attribute(3), Move Method(1)]"
io.github.hpsocket.soa.starter.leaf.config.SoaLeafConfig,class,26 -> 55,fda13b9a85ef14291aa088d58e01a2550c59237e -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/8544413fea5f5faedbe7f7fac54709eb616b9b87', 'https://github.com/ldcsaa/hp-soa/commit/fda13b9a85ef14291aa088d58e01a2550c59237e', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,16.0,14.0,1.0,1.0,3.0,3.0,40.0,40.0,0.0,0.0,12.0,11.0,13.0,13.0,snowflakeIdGen[ isStrEmpty():2 init():1 ] ,"hp-soa-starter/hp-soa-starter-leaf/src/main/java/io/github/hpsocket/soa/starter/leaf/config/SoaLeafConfig.java: [Remove Parameter Annotation(5), Modify Class Annotation(4), Modify Method Annotation(4), Localize Parameter(4), Add Method Annotation(3), Remove Method Annotation(3), Move Method(2)]"
io.github.hpsocket.soa.starter.web.config.ContextConfig,class,54 -> 55,5516d66293444f9c503f01ca3c19b43073218384 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/a6c96619b7f820a39a5c826bec3bab5f262be86f', 'https://github.com/ldcsaa/hp-soa/commit/d9c53701ef7a31648dc08236383dac758f671d2c', 'https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/5516d66293444f9c503f01ca3c19b43073218384', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/539c8ba67408833e81cf540c7c4df46cb5eb43aa', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,159,11.0,9.0,1.0,1.0,1.0,1.0,54.0,54.0,0.0,0.0,26.0,26.0,18.0,18.0,springContextHolder[  ] ,hp-soa-starter/hp-soa-starter-web/src/main/java/io/github/hpsocket/soa/starter/web/config/ContextConfig.java: [Move Method(1)]
io.github.hpsocket.soa.starter.web.config.WebConfig,class,54 -> 55,5516d66293444f9c503f01ca3c19b43073218384 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/8f73ef6e7b0159f7aa83330e681af786e2a185b8', 'https://github.com/ldcsaa/hp-soa/commit/8544413fea5f5faedbe7f7fac54709eb616b9b87', 'https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/a6c96619b7f820a39a5c826bec3bab5f262be86f', 'https://github.com/ldcsaa/hp-soa/commit/d9c53701ef7a31648dc08236383dac758f671d2c', 'https://github.com/ldcsaa/hp-soa/commit/e99292824afe0f572fc1911fdb2111c4537c0708', 'https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/5516d66293444f9c503f01ca3c19b43073218384', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/27c3012a689942e6da2828b8e692ca989e4e50af', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,159,37.0,34.0,1.0,1.0,39.0,39.0,97.0,97.0,0.0,0.0,64.0,64.0,24.0,24.0,mdcTracingFilterRegistration[ setName():1 setOrder():1 setEnabled():1 setFilter():1 addUrlPatterns():1 ] asyncService[  ] readOnlyContextRefreshedEventListener[  ] extendMessageConverters[ setJSONB():1 add():1 size():1 setWriterFeatures():1 get():1 setSupportedMediaTypes():1 getFastJsonConfig():1 setWriterFilters():1 getSupportedMediaTypes():1 asList():1 ] WebConfig[ isStrEmpty():2 init():1 getApp():1 getName():1 format():1 getId():1 getSimpleName():1 ] springContextHolder[  ] addCorsMappings[ getMapping():1 addMapping():1 getExposedHeaders():1 exposedHeaders():1 getAllowedHeaders():1 getAllowedMethods():1 isAllowCredentials():1 getAllowedOrigins():1 allowedOrigins():1 getMaxAge():1 maxAge():1 allowedHeaders():1 allowedMethods():1 getCors():1 allowCredentials():1 isStrEmpty():1 ] filterChain[ append():4 equals():3 permitAll():2 authorizeHttpRequests():2 withDefaults():2 antMatcher():2 isStrNotEmpty():2 requestMatchers():2 authenticated():1 getSpringMvcServletPath():1 getManagementEndpointsBasePath():1 csrf():1 getServletContextPath():1 httpBasic():1 anyRequest():1 formLogin():1 build():1 disable():1 toString():1 isStrEmpty():1 ] readOnlyRefreshEventListener[  ] webSecurityCustomizer[  ] asyncThreadPoolExecutor[ getQueueCapacity():2 parseRejectedExecutionHandler():1 allowCoreThreadTimeOut():1 isAllowCoreThreadTimeOut():1 getMaxPoolSize():1 getCorePoolSize():1 getRejectionPolicy():1 getKeepAliveSeconds():1 ] ,"hp-soa-starter/hp-soa-starter-web/src/main/java/io/github/hpsocket/soa/starter/web/config/WebConfig.java: [Add Method Annotation(6), Rename Method(2), Move Method(1)]"
io.github.hpsocket.soa.starter.mqtt.properties.SoaMqttProperties,class,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/fda13b9a85ef14291aa088d58e01a2550c59237e', 'https://github.com/ldcsaa/hp-soa/commit/5c6ec1b471c48a165049f46327e57ad3d46e5115', 'https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,159,15.0,12.0,3.0,3.0,15.0,15.0,83.0,83.0,3.0,3.0,25.0,24.0,17.0,17.0,mergeWill[ getWillMessage():3 getWillDestination():2 getPayload():1 isStrNotEmpty():1 setWill():1 ] ,hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/properties/SoaMqttProperties.java: [Move Method(1)]
io.github.hpsocket.soa.starter.rabbitmq.consumer.listener.RabbitmqReadOnlyEventListener,class,13 -> 44,e449a47d4001f13f7b07420af601b56de4e06302 -> 98fcc67abf516eabf4653465d3d21745a31b7d22,"['https://github.com/ldcsaa/hp-soa/commit/8f73ef6e7b0159f7aa83330e681af786e2a185b8', 'https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/98fcc67abf516eabf4653465d3d21745a31b7d22']",0,0,0,1,7.0,7.0,1.0,1.0,3.0,3.0,20.0,19.0,0.0,0.0,7.0,6.0,10.0,7.0,getOrder[  ] onApplicationEvent[ stop():2 info():2 isReadOnly():1 isRunning():1 isInitial():1 start():1 ] ,hp-soa-starter/hp-soa-starter-rabbitmq/src/main/java/io/github/hpsocket/soa/starter/rabbitmq/consumer/listener/RabbitmqReadOnlyEventListener.java: [Extract Method(14)]
