Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
edu.usc.irds.sparkler.AbstractExtensionPoint,class,363 -> 365,6ea43370261d2724a68fd663ab95d79d249d202d -> 3c94bce08ec1cffb44e571a91b4e889f5ad25592,46,4,42,25,8.0,4.0,2.0,1.0,13.0,3.0,39.0,16.0,2.0,2.0,17.0,6.0,9.0,3.0,init[ debug():1 ] ,"sparkler-api/src/main/java/edu/usc/irds/sparkler/AbstractExtensionPoint.java: [Encapsulate Attribute(3), Remove Parameter(3), Move Method(1)]"
edu.usc.irds.sparkler.plugin.RegexURLFilter,class,450 -> 486,ec2e6aa2a7387153186d1a2d973c08dd426857c9 -> 2d01a2cfca1ee2038140b1d49da80f9e33eee9b0,0,0,0,1,4.0,5.0,4.0,4.0,10.0,3.0,32.0,26.0,0.0,0.0,6.0,6.0,5.0,3.0,createRule[  ] main[ println():2 main():1 ] RegexURLFilter[  ] getRulesReader[  ] ,"sparkler-plugins/urlfilter-regex/src/main/java/edu/usc/irds/sparkler/plugin/RegexURLFilter.java: [Remove Thrown Exception Type(6), Change Parameter Type(4), Rename Parameter(4)] sparkler-plugins/urlfilter-regex/src/main/java/edu/usc/irds/sparkler/plugin/RegexURLFilterActivator.java: [Move Method(1)]"
edu.usc.irds.sparkler.util.FetcherDefault,class,440 -> 450,cf0a85c2709384e99ccf6e466aab67df85113e7f -> ec2e6aa2a7387153186d1a2d973c08dd426857c9,0,0,0,2,11.0,11.0,2.0,2.0,7.0,2.0,120.0,105.0,3.0,1.0,52.0,45.0,20.0,17.0,fetch[ getUrl():4 debug():2 setStatus():2 toString():2 setConnectTimeout():1 openConnection():1 getMessage():1 getInputStream():1 setResource():1 warn():1 getResponseCode():1 toByteArray():1 getContentType():1 close():1 info():1 ] closeResources[  ] ,sparkler-api/src/main/java/edu/usc/irds/sparkler/util/FetcherDefault.java: [Extract Superclass(1)]
edu.usc.irds.sparkler.util.FetcherDefault$FetchIterator,innerclass,123 -> 124,297aa49c00765dcffee7c61db83fb0987c3d3f01 -> 03596cd8d1dca186257d35324947f2e04507acab,12,3,9,4,4.0,3.0,1.0,1.0,0.0,0.0,19.0,15.0,0.0,0.0,4.0,3.0,5.0,3.0,next[ next():1 fetch():1 ] hasNext[ hasNext():1 ] FetchIterator[  ] close[ hasNext():1 closeResources():1 ] ,sparkler-api/src/main/java/edu/usc/irds/sparkler/util/FetcherDefault.java: [Extract Superclass(1)]
edu.usc.irds.sparkler.plugin.RegexURLFilter,class,374 -> 450,19bff47c669b683c860ff833a00f36a5b8b63686 -> ec2e6aa2a7387153186d1a2d973c08dd426857c9,0,0,0,2,5.0,4.0,4.0,4.0,3.0,10.0,26.0,32.0,0.0,0.0,6.0,6.0,3.0,5.0,createRule[  ] main[ println():2 main():1 ] RegexURLFilter[  ] getRulesReader[  ] ,"sparkler-plugins/urlfilter-regex/src/main/java/edu/usc/irds/sparkler/plugin/RegexURLFilter.java: [Remove Thrown Exception Type(6), Change Parameter Type(4), Rename Parameter(4)] sparkler-plugins/urlfilter-regex/src/main/java/edu/usc/irds/sparkler/plugin/RegexURLFilterActivator.java: [Move Method(1)]"
edu.usc.irds.sparkler.util.FetcherDefault,class,216 -> 219,7660bc9cf4ba078c2a140ff82dda277432a6006f -> a226f10c71b49a9de6820b20e5f6e8ca40a3a32d,0,0,0,2,8.0,8.0,2.0,2.0,1.0,1.0,53.0,41.0,1.0,1.0,21.0,17.0,7.0,5.0,fetch[ getUrl():4 debug():2 setStatus():2 toString():2 setConnectTimeout():1 openConnection():1 getMessage():1 getInputStream():1 setResource():1 warn():1 getResponseCode():1 toByteArray():1 getContentType():1 close():1 info():1 ] closeResources[  ] ,sparkler-api/src/main/java/edu/usc/irds/sparkler/util/FetcherDefault.java: [Extract Superclass(1)]
edu.usc.irds.sparkler.util.FetcherDefault,class,363 -> 365,6ea43370261d2724a68fd663ab95d79d249d202d -> 3c94bce08ec1cffb44e571a91b4e889f5ad25592,18,5,13,25,13.0,11.0,3.0,2.0,7.0,7.0,110.0,109.0,2.0,2.0,45.0,45.0,18.0,18.0,fetch[ getUrl():4 debug():2 setStatus():2 toString():2 setConnectTimeout():1 openConnection():1 getMessage():1 getInputStream():1 setResource():1 warn():1 getResponseCode():1 toByteArray():1 getContentType():1 close():1 info():1 ] closeResources[  ] ,sparkler-api/src/main/java/edu/usc/irds/sparkler/util/FetcherDefault.java: [Extract Superclass(1)]
