Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
de.rcenvironment.core.gui.workflow.integration.TempDirectorySection$DeleteTempDirectorySelectionListener,innerclass,9 -> 19,2b961edf020af9c8345fc212f1195cee61aa0f98 -> 4597ae0a96c41627556d0d419cc758a81c9ead13,"['https://github.com/rcenvironment/rce/commit/7c9c674c44736da64dd46cc764d6000ef838d1d6', 'https://github.com/rcenvironment/rce/commit/8477d2c909b6b6ef93e9afad4fa418e7bffba5e1', 'https://github.com/rcenvironment/rce/commit/2b961edf020af9c8345fc212f1195cee61aa0f98', 'https://github.com/rcenvironment/rce/commit/4597ae0a96c41627556d0d419cc758a81c9ead13']",0,0,0,900,5.0,4.0,1.0,1.0,1.0,1.0,13.0,12.0,0.0,0.0,3.0,2.0,3.0,3.0,widgetDefaultSelected[ widgetSelected():1 ] widgetSelected[ isKeepButtonActive():2 setProperty():2 setEnabled():1 setSelection():1 ] DeleteTempDirectorySelectionListener[  ] ,de.rcenvironment.core.gui.workflow.integration/src/main/java/de/rcenvironment/core/gui/workflow/integration/TempDirectorySection.java: [Extract Method(62)]
de.rcenvironment.core.communication.uplink.network.channel.internal.AbstractChannelEndpoint,class,17 -> 18,b64f23c242c03a10d72b67d8eda2ad66cc8963c5 -> 7c0060875bcf2d71141a93ac8b867e2afd4d6437,"['https://github.com/rcenvironment/rce/commit/ac8a4bc9024bd50c5cb3bf8fe84f16b3c25d4709', 'https://github.com/rcenvironment/rce/commit/980c737cd7e407bc7676b7b351d180d2e2829196', 'https://github.com/rcenvironment/rce/commit/b64f23c242c03a10d72b67d8eda2ad66cc8963c5', 'https://github.com/rcenvironment/rce/commit/7c0060875bcf2d71141a93ac8b867e2afd4d6437']",62,33,29,597,8.0,8.0,1.0,1.0,0.0,0.0,56.0,56.0,7.0,7.0,14.0,13.0,13.0,13.0,AbstractChannelEndpoint[  ] processMessage[ debug():2 getType():2 format():2 processMessageInternal():1 ] processMessageInternal[  ] refuseUnexpectedMessageType[ getType():1 error():1 ] enqueueMessageBlockForSending[ enqueueMessageBlockForSending():1 ] ,de.rcenvironment.core.communication.uplink/src/main/java/de/rcenvironment/core/communication/uplink/network/channel/internal/AbstractChannelEndpoint.java: [Extract Method(6)]
de.rcenvironment.core.embedded.ssh.internal.EmbeddedSshServerImpl,class,15 -> 16,cb9de16a9a3b402503b3540998bc5fbb50981b49 -> 9df689f8fe9ab706cf39e10541992e53774caa2e,"['https://github.com/rcenvironment/rce/commit/7c9c674c44736da64dd46cc764d6000ef838d1d6', 'https://github.com/rcenvironment/rce/commit/8477d2c909b6b6ef93e9afad4fa418e7bffba5e1', 'https://github.com/rcenvironment/rce/commit/ac8a4bc9024bd50c5cb3bf8fe84f16b3c25d4709', 'https://github.com/rcenvironment/rce/commit/980c737cd7e407bc7676b7b351d180d2e2829196', 'https://github.com/rcenvironment/rce/commit/cb9de16a9a3b402503b3540998bc5fbb50981b49', 'https://github.com/rcenvironment/rce/commit/9df689f8fe9ab706cf39e10541992e53774caa2e', 'https://github.com/rcenvironment/rce/commit/4cafc57550ac3d6fdf250c97a31bb9329aab5307']",6,0,6,3251,23.0,23.0,1.0,1.0,100.0,100.0,267.0,263.0,0.0,0.0,77.0,76.0,45.0,45.0,updateServerBannerWithAnnouncementData[ append():5 getKey():1 getValue():1 entrySet():1 getProperties():1 toString():1 put():1 ] getActivationSettingFromConfig[ isEnabled():1 validateConfiguration():1 ] performShutdown[ debug():1 stop():1 error():1 ] bindScpContextManager[  ] performStartup[ debug():3 getPort():3 getHost():3 format():2 getIdleTimeoutSeconds():2 setHost():1 updateServerBannerWithAnnouncementData():1 getProperties():1 start():1 error():1 setPort():1 put():1 setShellFactory():1 getConfigurablePath():1 getActivationSettingFromConfig():1 setKeyPairProvider():1 getPath():1 setUpDefaultServer():1 getAbsoluteFile():1 toMillis():1 setCommandFactory():1 setPasswordAuthenticator():1 setPublickeyAuthenticator():1 info():1 ] bindConfigurationService[  ] activate[ isConfigurationShellRequested():1 getAsyncTaskService():1 getMessage():1 error():1 execute():1 getConfigurationSegment():1 ] setAnnouncedVersionOrProperty[ updateServerBannerWithAnnouncementData():1 put():1 ] bindCommandExecutionService[  ] deactivate[ performShutdown():1 ] ,"de.rcenvironment.core.embedded.ssh/src/main/java/de/rcenvironment/core/embedded/ssh/internal/EmbeddedSshServerImpl.java: [Extract Method(8), Rename Method(2)]"
de.rcenvironment.core.gui.workflow.integration.TempDirectorySection,class,9 -> 19,2b961edf020af9c8345fc212f1195cee61aa0f98 -> 4597ae0a96c41627556d0d419cc758a81c9ead13,"['https://github.com/rcenvironment/rce/commit/7c9c674c44736da64dd46cc764d6000ef838d1d6', 'https://github.com/rcenvironment/rce/commit/8477d2c909b6b6ef93e9afad4fa418e7bffba5e1', 'https://github.com/rcenvironment/rce/commit/2b961edf020af9c8345fc212f1195cee61aa0f98', 'https://github.com/rcenvironment/rce/commit/4597ae0a96c41627556d0d419cc758a81c9ead13']",0,0,0,900,15.0,15.0,6.0,6.0,9.0,3.0,126.0,122.0,0.0,0.0,27.0,25.0,17.0,16.0,isKeepButtonActive[ getValue():2 getSelection():2 parseBoolean():2 getReadOnlyConfiguration():1 getConfigurationDescription():1 getComponentConfigurationDefinition():1 getConfiguration():1 ] refreshSection[ aboutToBeShown():1 ] aboutToBeShown[ setSelection():7 parseBoolean():4 setEnabled():4 getValue():3 equals():3 isKeepButtonActive():2 getProperty():2 determineDeletionBehaviour():2 getReadOnlyConfiguration():1 getConfigurationDescription():1 getComponentConfigurationDefinition():1 getConfiguration():1 getSelection():1 setProperty():1 ] createCompositeContent[ setText():6 addSelectionListener():4 setLayoutData():4 getWidgetFactory():3 setLayout():3 createFlatFormComposite():2 setClient():1 createSection():1 ] determineDeletionBehaviour[ setSelection():3 setProperty():3 ] ,de.rcenvironment.core.gui.workflow.integration/src/main/java/de/rcenvironment/core/gui/workflow/integration/TempDirectorySection.java: [Extract Method(62)]
de.rcenvironment.core.gui.workflow.editor.properties.FaultTolerantLoopSection$BehaviorInCaseOfFailureSelectionListenerNAV,innerclass,3 -> 19,51768ff0b181504b7e1ccf520250245c4a60e225 -> 4597ae0a96c41627556d0d419cc758a81c9ead13,"['https://github.com/rcenvironment/rce/commit/7c9c674c44736da64dd46cc764d6000ef838d1d6', 'https://github.com/rcenvironment/rce/commit/51768ff0b181504b7e1ccf520250245c4a60e225', 'https://github.com/rcenvironment/rce/commit/4597ae0a96c41627556d0d419cc758a81c9ead13']",0,0,0,900,6.0,5.0,1.0,1.0,1.0,1.0,12.0,11.0,0.0,0.0,7.0,6.0,4.0,4.0,widgetDefaultSelected[ widgetSelected():1 ] widgetSelected[ setEnabled():4 getProperty():2 valueOf():2 getSource():1 setProperty():1 toString():1 setSelectionOfCheckbox():1 getData():1 ] ,"de.rcenvironment.core.gui.workflow/src/main/java/de/rcenvironment/core/gui/workflow/editor/properties/FaultTolerantLoopSection.java: [Extract Method(11), Extract And Move Method(11), Rename Attribute(2)]"
