Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
services.moleculer.ServiceBroker,repl,255 -> 346,a82dec0fda4dfcf54784dc6cb43bfffe50a9ebfe -> 95c5f0123c86365fa75fa582199e4430a002d7e0,4,2,2,17,4.0,4.0,22.0,22.0,7.0,6.0,5.0,6.0,6,src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(16)]
services.moleculer.service.DefaultServiceRegistry,DefaultServiceRegistry,65 -> 415,38ecd30414d34df679330a6073db623d3d6590a5 -> b7a1b615dde8427a671a5c9ccc01e6283024eb13,166,95,71,8,0.0,0.0,6.0,3.0,2.0,0.0,1.0,1.0,2,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Variable(10), Rename Attribute(10), Rename Variable(8), Change Attribute Type(6), Reorder Parameter(6), Change Variable Type(4), Add Method Modifier(2), Add Attribute Modifier(2), Remove Variable Modifier(2), Remove Parameter(2), Move Attribute(1), Add Parameter(1), Move Method(1)]"
services.moleculer.service.LocalActionContainer,start,64 -> 65,46958e69fddc9bd25276a73127d998a27c2d4a1c -> 38ecd30414d34df679330a6073db623d3d6590a5,80,64,16,16,4.0,4.0,11.0,9.0,7.0,7.0,4.0,3.0,7,"src/main/java/services/moleculer/service/LocalActionContainer.java: [Pull Up Method(4), Pull Up Attribute(4), Change Attribute Access Modifier(4), Remove Attribute Modifier(4), Extract Superclass(2), Remove Variable Modifier(2), Add Parameter(2), Move Attribute(1), Remove Parameter(1), Move Method(1)]"
services.moleculer.cacher.JCacheCacher,getPartition,415 -> 587,b7a1b615dde8427a671a5c9ccc01e6283024eb13 -> 8edc35926c7505f2d72579518bdbb488643da268,3,2,1,9,0.0,0.0,22.0,11.0,5.0,3.0,5.0,1.0,5,"src/main/java/services/moleculer/cacher/JCacheCacher.java: [Extract Method(89), Change Variable Type(4), Rename Variable(4)]"
services.moleculer.service.DefaultServiceRegistry,register,64 -> 65,46958e69fddc9bd25276a73127d998a27c2d4a1c -> 38ecd30414d34df679330a6073db623d3d6590a5,0,0,0,16,2.0,2.0,10.0,9.0,3.0,2.0,1.0,2.0,3,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Variable(10), Rename Attribute(10), Rename Variable(8), Change Attribute Type(6), Reorder Parameter(6), Change Variable Type(4), Add Method Modifier(2), Add Attribute Modifier(2), Remove Variable Modifier(2), Remove Parameter(2), Move Attribute(1), Add Parameter(1), Move Method(1)]"
services.moleculer.context.Context,broadcastLocal,40 -> 64,172f5de32559d1611081b5a62cba27e3cd69d6b0 -> 46958e69fddc9bd25276a73127d998a27c2d4a1c,93,68,25,23,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1,"src/main/java/services/moleculer/context/ContextPool.java: [Modify Class Annotation(2), Rename Class(1)] src/main/java/services/moleculer/context/ContextFactory.java: [Modify Class Annotation(2), Rename Class(1)] src/main/java/services/moleculer/context/Context.java: [Add Method Modifier(11), Pull Up Method(3), Remove Method Annotation(3), Add Class Modifier(2), Change Type Declaration Kind(2), Move Method(2), Collapse Hierarchy(1), Add Attribute Modifier(1), Move Attribute(1)]"
services.moleculer.service.DefaultServiceRegistry,receiveRequest,562 -> 587,bb9e7e166f4bd232864f2a9355d855816a88cd7f -> 8edc35926c7505f2d72579518bdbb488643da268,0,0,0,9,20.0,20.0,213.0,202.0,39.0,35.0,50.0,46.0,2,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Method(54), Rename Variable(4)]"
services.moleculer.ServiceBroker,stop,36 -> 39,4a250689fa2faf80fd717d9b83be8a6458c523a9 -> eafdc6884817f980dd65e1e417ff68cea5dba755,22,8,14,26,1.0,2.0,15.0,12.0,7.0,4.0,5.0,3.0,7,"src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(47), Add Method Modifier(4), Change Return Type(4), Rename Parameter(4), Extract And Move Method(4), Add Class Modifier(2), Add Attribute Modifier(2), Rename Attribute(2), Move Attribute(1)]"
services.moleculer.transporter.TcpTransporter,doGossiping,134 -> 135,7f4986b341a204622e2954089a3d409060e4b05f -> 94b9387b1119642eb8c293023c7c071410892bbb,40,9,31,1,3.0,2.0,34.0,13.0,9.0,4.0,7.0,3.0,9,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Extract Attribute(24), Extract Method(20), Rename Parameter(4), Change Parameter Type(4)]"
services.moleculer.transporter.MqttTransporter,disconnect,516 -> 569,6739920fd023b86aea574e5192c25e024c35f51c -> a269ea254f648b7c0a213b466c88844136e0d2c1,320,177,143,10,1.0,1.0,38.0,20.0,14.0,4.0,9.0,5.0,2,"src/main/java/services/moleculer/transporter/MqttTransporter.java: [Extract Method(24), Change Attribute Type(10), Rename Attribute(8), Encapsulate Attribute(4)]"
services.moleculer.transporter.TcpTransporterTest,testProcessGossipRequest,191 -> 194,266b3df06c4daf73ff454b89b5ec2675ae3878ff -> b163e4459fade5bec169ac2b7a0070b0299aae34,13,0,13,6,6.0,6.0,100.0,91.0,20.0,19.0,4.0,4.0,24,"src/test/java/services/moleculer/transporter/TcpTransporterTest.java: [Extract Method(15), Rename Variable(4)]"
