Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
swim.runtime.HttpProxy,didRequest,53 -> 322,3bc69239d6ae8051df994cae92636687f8ca560a -> 315d929e0675ee8091d44edd9faae88782a6e48d,0,0,0,17,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/HttpProxy.java: [Extract Class(13), Move Method(10), Extract Superclass(1), Remove Method Modifier(1)]"
swim.runtime.router.PartTable,openHost,324 -> 326,185574f8c4f40e4b8fae72f8c29749ba347eb278 -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,9.0,7.0,41.0,41.0,13.0,13.0,8.0,8.0,9,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTable.java: [Extract Method(42), Change Return Type(4), Extract Interface(2)]"
swim.runtime.router.HostTable,cellAddress,149 -> 326,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/HostTable.java: [Extract Variable(12)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/HostTableNode.java: [Parameterize Attribute(12), Add Parameter(9), Change Parameter Type(8), Rename Parameter(8), Extract Class(3), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.java.JavaAgentDef,hashCode,51 -> 128,d22db6d962a17c4d4f5820df8785a33965cf767f -> 3173a63a3b5a57073a5233e9d9a71cdc251dda93,0,0,0,179,2.0,1.0,6.0,6.0,6.0,5.0,2.0,2.0,6,"swim-system-java/swim-mesh-java/swim.java/src/main/java/swim/java/JavaAgentDef.java: [Pull Up Method(10), Rename Parameter(10), Change Return Type(6), Change Parameter Type(4), Change Type Declaration Kind(2), Add Method Modifier(2), Change Variable Type(2), Pull Up Attribute(2), Collapse Hierarchy(1), Remove Method Annotation(1)]"
swim.runtime.DownlinkModel,reopen,53 -> 322,3bc69239d6ae8051df994cae92636687f8ca560a -> 315d929e0675ee8091d44edd9faae88782a6e48d,21,11,10,17,4.0,2.0,25.0,21.0,5.0,2.0,5.0,5.0,5,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/DownlinkModel.java: [Move Class(5), Change Method Access Modifier(4), Remove Parameter(3), Extract Class(1)]"
swim.runtime.DownlinkModel,didConnect,53 -> 322,3bc69239d6ae8051df994cae92636687f8ca560a -> 315d929e0675ee8091d44edd9faae88782a6e48d,21,11,10,17,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/DownlinkModel.java: [Move Class(5), Change Method Access Modifier(4), Remove Parameter(3), Extract Class(1)]"
swim.runtime.warp.WarpLaneModel,cueDown,53 -> 290,3bc69239d6ae8051df994cae92636687f8ca560a -> 0c92cb6d6cb9cfab7b7ff30fbc41d8a39ae22ed9,0,0,0,14,5.0,4.0,20.0,20.0,8.0,8.0,5.0,5.0,8,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/warp/WarpLaneModel.java: [Change Parameter Type(8), Extract Subclass(7), Change Method Access Modifier(6), Push Down Method(6), Move And Rename Class(4), Add Method Annotation(2), Change Attribute Type(1), Extract Superclass(1)]"
swim.runtime.router.PartTable,reportDown,154 -> 287,fca5f2b16f388aaf1f237506f1eaac131fd24122 -> 16b10004b33b3378615f32034f46796542e3ebf9,0,0,0,85,5.0,4.0,11.0,11.0,3.0,3.0,3.0,3.0,3,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTable.java: [Extract Method(42), Change Return Type(4), Extract Interface(2)]"
swim.runtime.http.HttpUplinkModem,request,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/http/HttpUplinkModem.java: [Extract Superclass(1)]
swim.runtime.router.PartTable,willClose,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,7.0,7.0,5.0,5.0,2.0,2.0,5,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableUplink.java: [Change Parameter Type(2), Rename Class(1), Extract Superclass(1)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHttpUplink.java: [Change Parameter Type(2), Rename Class(1), Extract Superclass(1)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTable.java: [Change Variable Type(20), Change Parameter Type(8), Change Attribute Type(4)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableWarpUplink.java: [Extract Class(3), Move Method(2)]"
swim.uri.UriAuthority,display,154 -> 189,fca5f2b16f388aaf1f237506f1eaac131fd24122 -> e852cb1e1c5d7142ac0a8e258e99b7b23adc1be7,0,0,0,14,3.0,2.0,14.0,14.0,4.0,4.0,4.0,4.0,4,swim-system-java/swim-core-java/swim.uri/src/main/java/swim/uri/UriAuthority.java: [Extract Superclass(2)]
swim.runtime.http.HttpErrorUplinkModem,doRespond,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/http/HttpErrorUplinkModem.java: [Add Method Annotation(38), Push Down Method(19), Extract Subclass(7)]"
