Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
net.hasor.rsf.center.core.cluster.DataDiplomat,class,185 -> 186,02f4edb486f75c4d665e601c16b3cf12fb560b71 -> b3a81b18cf19dca6d80218d6c8516b8c8130e852,10,2,8,6,11.0,11.0,1.0,1.0,11.0,11.0,74.0,69.0,0.0,0.0,36.0,30.0,11.0,11.0,getVersion[ getResourceAsStream():1 get():1 readLines():1 isEmpty():1 ] initCenterInfo[ createNode():6 saveOrUpdate():5 getVersion():2 serverInfo():1 nowData():1 getSessionId():1 getZooKeeper():1 initDiplomatEnv():1 info():1 ] serverInfo[ process():1 getTemplate():1 toString():1 put():1 ] nowData[ format():1 ] onEvent[ equals():2 initCenterInfo():1 shutdownDiplomat():1 ] shutdownDiplomat[ deleteNode():1 getInstance():1 info():1 ] initDiplomatEnv[ setDefaultEncoding():1 setOutputEncoding():1 getRsfPort():1 format():1 setClassicCompatible():1 getBindInetAddress():1 getAddress():1 getHostAddress():1 setTemplateLoader():1 setNumberFormat():1 setLocalizedLookup():1 ] ,"rsf-center/src/main/java/net/hasor/rsf/center/core/cluster/DataDiplomat.java: [Remove Parameter(2), Change Thrown Exception Type(2), Move And Rename Method(1), Move Method(1)]"
net.hasor.rsf.protocol.hprose.HproseHttpCoder,class,484 -> 510,18857223d30cffa0b640ab3919e18b5e713744bc -> 30be51ee58545cd6c3904f0614ff97852b50e641,44,6,38,15,19.0,17.0,2.0,2.0,7.0,6.0,101.0,76.0,0.0,0.0,42.0,25.0,22.0,17.0,HproseHttpCoder[  ] write[ headers():2 set():2 doResult():1 readableBytes():1 getStatus():1 getRequestID():1 ] channelRead[ doCall():1 content():1 ] ,"src/main/java/net/hasor/rsf/protocol/hprose/HproseHttpCoder.java: [Extract Method(53), Extract Variable(5), Remove Class Annotation(3)]"
net.hasor.rsf.center.server.push.PushProcessor,class,262 -> 314,112b53666de263822fcf9a3717682895aed32d2a -> c75854e3ebb698faeeac0276c40a5441ab9758e9,0,0,0,7,13.0,11.0,1.0,1.0,2.0,2.0,59.0,59.0,0.0,0.0,22.0,22.0,12.0,12.0,doProcessor[  ] ,"rsf-center/rsf-center-runtime/src/main/java/net/hasor/rsf/center/server/push/PushProcessor.java: [Remove Method Annotation(3), Pull Up Method(3), Remove Class Modifier(2)]"
net.hasor.rsf.address.AddressPool$PoolThread,innerclass,122 -> 125,7f335fd4df91280878d414acab6f6f3c2be44f3a -> e6192e557b2314f980a8efdf789ae2763f201ceb,18,6,12,4,3.0,3.0,1.0,1.0,0.0,0.0,27.0,26.0,0.0,0.0,11.0,10.0,6.0,6.0,run[ currentTimeMillis():2 info():2 sleep():1 islocalDiskCache():1 getSettings():1 saveAddress():1 getMessage():1 getRefreshCacheTime():1 readAddress():1 refreshCache():1 error():1 ] ,"rsf-core/src/test/java/test/net/hasor/rsf/address/AddressPoolTest.java: [Rename Package(1), Move Class(1)] rsf-core/src/main/java/net/hasor/rsf/address/AddressPool.java: [Change Variable Type(32), Replace Attribute With Variable(8), Change Return Type(8), Parameterize Variable(8), Rename Method(6), Remove Thrown Exception Type(6), Reorder Parameter(6), Change Method Access Modifier(6), Remove Parameter(6), Extract Class(5), Change Attribute Type(4), Localize Parameter(4), Change Parameter Type(4), Rename Parameter(4), Replace Variable With Attribute(4), Add Attribute Modifier(2), Move Method(2)]"
test.net.hasor.rsf.client.sync.SyncClient,class,43 -> 137,eeb803a4be288a55414d82e9243f00b439846c35 -> b600e1e415aa035d931c168fcc35ee054be11c7e,0,0,0,26,5.0,4.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,11.0,11.0,7.0,7.0,syncRun[ sleep():1 println():1 getSettings():1 start():1 getInteger():1 ] doCall[ println():1 echo():1 getRsfClient():1 getService():1 getRemote():1 getBindCenter():1 ] SyncClient[  ] ,"test-rsf-client/src/main/java/test/net/hasor/rsf/client/sync/SyncClient.java: [Remove Parameter(2), Change Thrown Exception Type(2), Move And Rename Method(1), Remove Method Modifier(1), Move Method(1)]"
net.hasor.rsf.domain.AttributeSet,class,328 -> 493,6c77f24b1ee01dd7f0d03c1622805db89e958407 -> a948f292cab247559e6019f49f3f2d9336d0b023,0,0,0,267,1.0,1.0,2.0,2.0,0.0,0.0,16.0,16.0,2.0,0.0,6.0,6.0,4.0,4.0,setAttribute[ put():1 ] getAttribute[ get():1 ] getAttributeNames[ iterator():1 asEnumeration():1 keySet():1 ] removeAttribute[ remove():1 ] ,rsf-core/src/main/java/net/hasor/rsf/domain/AttributeSet.java: [Extract Superclass(1)]
net.hasor.rsf.rpc.net.RsfNetManager,class,450 -> 453,dfc2194589d4cae70e86788fc729a14aeef27bd0 -> c5f7e229cb34a3cda7395670722da1329cf95b3e,13,2,11,36,15.0,15.0,1.0,1.0,0.0,0.0,113.0,108.0,0.0,0.0,41.0,40.0,25.0,24.0,connSocket[ channel():4 error():3 getMessage():2 await():2 close():2 info():2 handler():1 cause():1 getPort():1 getHost():1 connect():1 group():1 option():1 isSuccess():1 ] getChannel[ connSocket():1 get():1 isActive():1 close():1 remove():1 put():1 ] RsfNetManager[ getQueueMaxPoolSize():1 getSettings():1 getQueueMinPoolSize():1 getQueueKeepAliveTime():1 getConnectTimeout():1 getQueueMaxSize():1 getNetworkWorker():1 info():1 ] shutdown[ shutdownGracefully():1 shutdown():1 ] ,"src/main/java/net/hasor/rsf/rpc/net/RsfNetManager.java: [Remove Thrown Exception Type(9), Extract Variable(9), Change Return Type(8), Rename Variable(8), Extract Class(6), Change Attribute Type(4), Change Variable Type(4), Add Parameter(3), Add Attribute Modifier(2), Move Method(2), Move Attribute(2), Move Class(1)]"
test.net.hasor.rsf._06_caller.CallerTest,class,153 -> 167,cbe617aa9243f7b5a6894e78e1c6fb8425239ca5 -> 97f5c798d347071d256c6229492cfd91fb558fea,29,10,19,24,17.0,23.0,1.0,1.0,1.0,1.0,78.0,68.0,0.0,0.0,11.0,9.0,4.0,4.0,callerTest[ currentTimeMillis():2 println():1 getBindID():1 sayHello():1 printStackTrace():1 rsfService():1 getRemoteByID():1 createFactory():1 createBinder():1 timeout():1 register():1 ] send[ getParameterValues():1 encode():1 putResponse():1 printStackTrace():1 decode():1 getSerializeCoder():1 setReturnData():1 getSerializeType():1 setStatus():1 setReceiveTime():1 setRequestID():1 get():1 currentTimeMillis():1 setSerializeType():1 getRequestID():1 ] ,"rsf-core/src/test/java/test/net/hasor/rsf/_06_caller/CallerTest.java: [Extract Method(27), Remove Parameter Modifier(8), Remove Variable Modifier(4), Remove Method Annotation(3), Change Method Access Modifier(2)]"
net.hasor.rsf.center.core.startup.StartAppModule,class,97 -> 100,fd75a186828f17d65c620b9a1c633710390146a0 -> 07bf468daef4991d022e3697312f699ac01eace6,23,8,15,13,14.0,13.0,2.0,2.0,1.0,1.0,25.0,18.0,0.0,0.0,9.0,10.0,3.0,2.0,onStart[ info():3 getChildren():2 getXmlNode():1 size():1 trim():1 getSettings():1 getText():1 loadSQL():1 getEnvironment():1 findBindingBean():1 error():1 ] loadController[ getEnvironment():4 getString():4 findClass():3 createDataSource():2 bindType():2 build():2 getResourceAsReader():2 configDataSource():2 loadType():1 isAnnotationPresent():1 getSettings():1 isAssignableFrom():1 getAnnotation():1 value():1 apiBinder():1 ] createDataSource[ setPassword():1 setMaxPoolSize():1 setTestConnectionOnCheckin():1 setMaxIdleTime():1 setInitialPoolSize():1 setDriverClass():1 setAcquireRetryAttempts():1 setCheckoutTimeout():1 setIdleConnectionTestPeriod():1 setAcquireRetryDelay():1 setJdbcUrl():1 setAcquireIncrement():1 setUser():1 info():1 ] configDataSource[ nameWith():3 bindType():3 toProvider():2 installModule():1 toInstance():1 ] ,"rsf-center/src/main/java/net/hasor/rsf/center/core/startup/StartAppModule.java: [Remove Method Annotation(3), Move Method(2)]"
test.net.hasor.rsf._06_caller.CallerTest,class,152 -> 153,abc05e5243c33e1593769eef5923324cda589bec -> cbe617aa9243f7b5a6894e78e1c6fb8425239ca5,61,25,36,19,22.0,17.0,1.0,1.0,3.0,1.0,87.0,78.0,0.0,0.0,25.0,11.0,6.0,4.0,callerTest[ currentTimeMillis():2 println():1 getBindID():1 sayHello():1 printStackTrace():1 rsfService():1 getRemoteByID():1 createFactory():1 createBinder():1 timeout():1 register():1 ] send[ getParameterValues():1 encode():1 putResponse():1 printStackTrace():1 decode():1 getSerializeCoder():1 setReturnData():1 getSerializeType():1 setStatus():1 setReceiveTime():1 setRequestID():1 get():1 currentTimeMillis():1 setSerializeType():1 getRequestID():1 ] ,"rsf-core/src/test/java/test/net/hasor/rsf/_06_caller/CallerTest.java: [Extract Method(27), Remove Parameter Modifier(8), Remove Variable Modifier(4), Remove Method Annotation(3), Change Method Access Modifier(2)]"
net.hasor.rsf.center.server.manager.ServiceManager,class,493 -> 496,a948f292cab247559e6019f49f3f2d9336d0b023 -> be6e3dbf1cfa191c40a43308a0251f66433e1b96,0,0,0,48,23.0,23.0,1.0,1.0,8.0,8.0,419.0,419.0,0.0,0.0,80.0,75.0,129.0,129.0,queryProviders[  ] publishConsumer[ refreshAddress():3 assertIsNotNull():3 isSuccess():3 buildFailedResult():3 getBindID():2 getContent():2 addLog():2 isEmpty():2 converToService():2 setType():2 getResult():2 getRefreshTime():2 currentTimeMillis():2 setContent():1 logException():1 queryObjectByID():1 getTime():1 getProviderExpireTime():1 error():1 setRefreshTime():1 getHostPort():1 queryObjectListByID():1 converToString():1 create():1 setRefObjectID():1 equalsIgnoreCase():1 getRsfAddress():1 getAuthInfo():1 add():1 singletonList():1 setObjectID():1 refreshObject():1 getObjectID():1 storeObject():1 setSuccess():1 toJson():1 setErrorInfo():1 getType():1 evalRegisterID():1 ] removeRegister[  ] requestProviders[  ] evalRegisterID[ setSuccess():2 setErrorInfo():2 getMD5():1 setResult():1 setThrowable():1 ] buildFailedResult[ setErrorInfo():2 setSuccess():1 setThrowable():1 getResult():1 getErrorInfo():1 getThrowable():1 ] publishService[ isSuccess():4 buildFailedResult():4 getResult():4 assertIsNotNull():3 appendAddress():3 setType():3 setContent():2 getBindID():2 getContent():2 setRefreshTime():2 converToString():2 addLog():2 isEmpty():2 setObjectID():2 converToService():2 refreshObject():2 storeObject():2 getRefreshTime():2 currentTimeMillis():2 logException():1 queryObjectByID():1 getTime():1 getConsumerExpireTime():1 error():1 getHostPort():1 queryObjectListByID():1 create():1 setRefObjectID():1 equalsIgnoreCase():1 getRsfAddress():1 getAuthInfo():1 add():1 singletonList():1 getObjectID():1 setSuccess():1 toJson():1 setErrorInfo():1 getType():1 evalRegisterID():1 ] serviceBeat[  ] getAuthInfo[ getAttribute():1 ] ,"rsf-center/rsf-center-runtime/src/main/java/net/hasor/rsf/center/server/manager/ServiceManager.java: [Extract Method(92), Rename Variable(8), Rename Parameter(8), Parameterize Variable(4)]"
net.hasor.rsf.center.core.dao.DaoModule,class,97 -> 100,fd75a186828f17d65c620b9a1c633710390146a0 -> 07bf468daef4991d022e3697312f699ac01eace6,12,7,5,13,20.0,19.0,2.0,2.0,6.0,4.0,78.0,80.0,0.0,0.0,37.0,34.0,12.0,13.0,onStart[ info():4 getChildren():2 getSettings():1 workAt():1 getText():1 getEnvironment():1 getCodeString():1 error():1 equalsBlankIgnoreCase():1 getXmlNode():1 size():1 trim():1 loadSQL():1 getInstance():1 ] createDataSource[ setPassword():1 setMaxPoolSize():1 setTestConnectionOnCheckin():1 setMaxIdleTime():1 setInitialPoolSize():1 setDriverClass():1 setAcquireRetryAttempts():1 setCheckoutTimeout():1 setIdleConnectionTestPeriod():1 setAcquireRetryDelay():1 setJdbcUrl():1 setAcquireIncrement():1 setUser():1 info():1 ] loadModule[ getString():4 getEnvironment():2 getSettings():1 build():1 workAt():1 createDataSource():1 bindType():1 getResourceAsReader():1 findClass():1 getCodeString():1 equalsBlankIgnoreCase():1 configDataSource():1 ] configDataSource[ bindType():3 toProvider():2 installModule():1 toInstance():1 ] ,rsf-center/src/main/java/net/hasor/rsf/center/core/dao/DaoModule.java: [Move Method(2)]
net.hasor.rsf.rpc.context.AbstractRsfContext$Transport,innerclass,492 -> 493,a64866796d93328e28d31337b5ec2a8f10ad0ba5 -> a948f292cab247559e6019f49f3f2d9336d0b023,0,0,0,267,11.0,11.0,2.0,2.0,6.0,6.0,40.0,40.0,0.0,0.0,12.0,11.0,8.0,8.0,receivedMessage[ doRequest():1 putResponse():1 ] sendResponse[ sendData():2 printStackTrace():2 getChannel():2 get():2 ] sendRequest[ get():2 sendData():1 printStackTrace():1 getChannel():1 ] ,src/main/java/net/hasor/rsf/rpc/context/AbstractRsfContext.java: [Extract Superclass(2)]
net.hasor.neuron.election.ElectionServiceImpl,class,362 -> 371,ff6752b6744857a2a98e20e371e09310b58b244b -> 6a69b274daeeffdbe99a0fa9653603159d51c519,0,0,0,112,19.0,18.0,1.0,1.0,4.0,4.0,216.0,216.0,0.0,0.0,60.0,52.0,47.0,47.0,responseVote[ get():1 getServerID():1 isVoteGranted():1 getAllServiceNodes():1 setVoteGranted():1 tryToLeader():1 ] processForFollower[ getLastLeaderHeartbeat():1 atTime():1 getTimeout():1 ] requestVote[ getServerID():4 setVoteGranted():3 pushVoteResult():2 gtFirst():2 equalsIgnoreCase():2 getVotedFor():2 setVotedFor():1 setRemoteTerm():1 getCurrentTerm():1 setServerID():1 getTerm():1 isBlank():1 ] onEvent[ processForFollower():1 processForLeader():1 processForCandidate():1 ] pushVoteResult[ responseVote():1 getElectionService():1 get():1 getAllServiceNodes():1 ] processForLeader[ atTime():1 values():1 getTimeout():1 getAllServiceNodes():1 ] processForCandidate[ requestVote():3 isSuccess():2 getCurrentTerm():1 setLastApplied():1 incrementAndGetTerm():1 setServerID():1 values():1 getAllServiceNodes():1 setVoteGranted():1 getLastApplied():1 atTime():1 setVotedFor():1 getElectionService():1 getTimeout():1 getServerID():1 setCommitIndex():1 setTerm():1 getCommitIndex():1 ] tryToLeader[ size():1 values():1 fireSyncEvent():1 isVoteGranted():1 getAllServiceNodes():1 getStatus():1 ] ,"rsf-neuron/src/main/java/net/hasor/neuron/election/ElectionServiceImpl.java: [Extract Method(16), Inline Variable(10), Change Attribute Type(4), Change Return Type(4), Add Class Annotation(3), Rename Attribute(2)]"
