Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
net.hasor.rsf.center.server.pushing.PushQueue,doPush,318 -> 339,876e3842c5769839fc6f5d4da4dcac1df1cfc687 -> d722e84083876143a13332ab65c512524a04d464,"['https://github.com/zycgit/rsf/commit/876e3842c5769839fc6f5d4da4dcac1df1cfc687', 'https://github.com/zycgit/rsf/commit/d722e84083876143a13332ab65c512524a04d464', 'https://github.com/zycgit/rsf/commit/c224ccc048d90b185945f0702f57336ea2d583c2', 'https://github.com/zycgit/rsf/commit/31b54025e10fd95914cbf4b0e541b7f5b35fa08d', 'https://github.com/zycgit/rsf/commit/f804beba60587b058a95a2e1aaf6e1b08868f602', 'https://github.com/zycgit/rsf/commit/e12fbe73013b9ed2f259919e50040158fcda0cd7', 'https://github.com/zycgit/rsf/commit/a723354ef4d7e9c8fe0b4133d17c0667d29b8f61', 'https://github.com/zycgit/rsf/commit/a64866796d93328e28d31337b5ec2a8f10ad0ba5', 'https://github.com/zycgit/rsf/commit/a948f292cab247559e6019f49f3f2d9336d0b023']",0,0,0,10,3.0,3.0,11.0,10.0,7.0,10.0,2.0,2.0,7,"rsf-center/rsf-center-runtime/src/main/java/net/hasor/rsf/center/server/pushing/PushQueue.java: [Extract Method(11), Inline Method(4), Change Return Type(2), Move Class(1), Remove Class Annotation(1), Change Attribute Type(1), Change Method Access Modifier(1), Remove Parameter(1), Remove Thrown Exception Type(1), Move And Rename Method(1)]"
net.hasor.rsf.rpc.client.RsfRequestManager,sendRequest,7 -> 19,d621212e33f8055f6f678157d8abb2d2ad5447e1 -> e6573828eaf0bc826d47ec1b610807902684e04b,"['https://github.com/zycgit/rsf/commit/d621212e33f8055f6f678157d8abb2d2ad5447e1', 'https://github.com/zycgit/rsf/commit/e6573828eaf0bc826d47ec1b610807902684e04b']",0,0,0,27,12.0,11.0,22.0,22.0,9.0,9.0,3.0,3.0,9,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfRequestManager.java: [Change Return Type(2), Move Class(1), Merge Package(1), Change Attribute Type(1), Extract Class(1)]"
net.hasor.rsf.center.core.startup.StartAppModule,onStart,185 -> 188,02f4edb486f75c4d665e601c16b3cf12fb560b71 -> 24a1e5521d2043a947c9e74e039b0eefc9082c3a,"['https://github.com/zycgit/rsf/commit/a1b87bfd3d6eaa64a290ff1872a8a3ae35fd45ad', 'https://github.com/zycgit/rsf/commit/649ba9c7bd10ff98ce5050deddac3ed33367e05e', 'https://github.com/zycgit/rsf/commit/8488cd6b2123ff46162590aa76cf1922ff713c55', 'https://github.com/zycgit/rsf/commit/fd75a186828f17d65c620b9a1c633710390146a0', 'https://github.com/zycgit/rsf/commit/02f4edb486f75c4d665e601c16b3cf12fb560b71', 'https://github.com/zycgit/rsf/commit/24a1e5521d2043a947c9e74e039b0eefc9082c3a']",0,0,0,15,1.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,11,"rsf-center/src/main/java/net/hasor/rsf/center/core/startup/StartAppModule.java: [Remove Method Annotation(3), Move Method(2)]"
net.hasor.rsf.center.core.cluster.DataDiplomat,initCenterInfo,185 -> 186,02f4edb486f75c4d665e601c16b3cf12fb560b71 -> b3a81b18cf19dca6d80218d6c8516b8c8130e852,"['https://github.com/zycgit/rsf/commit/02f4edb486f75c4d665e601c16b3cf12fb560b71', 'https://github.com/zycgit/rsf/commit/b3a81b18cf19dca6d80218d6c8516b8c8130e852']",10,2,8,6,2.0,2.0,16.0,14.0,9.0,7.0,1.0,1.0,9,"rsf-center/src/main/java/net/hasor/rsf/center/core/cluster/DataDiplomat.java: [Remove Parameter(2), Change Thrown Exception Type(2), Move And Rename Method(1), Move Method(1)]"
net.hasor.rsf.rpc.client.RsfClientWrappe,doCallBackRequest,28 -> 110,e640dcd9f2a240c956bc21e2d688b76991aecb4e -> 12b06a391c9bd13060a21a480719be62c90acb15,"['https://github.com/zycgit/rsf/commit/e640dcd9f2a240c956bc21e2d688b76991aecb4e', 'https://github.com/zycgit/rsf/commit/12b06a391c9bd13060a21a480719be62c90acb15']",11,6,5,16,6.0,5.0,6.0,5.0,4.0,3.0,1.0,1.0,4,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Add Method Annotation(48), Move Method(27), Change Variable Type(10), Move Attribute(3), Remove Parameter Modifier(2), Add Attribute Modifier(2), Add Parameter Modifier(2), Move Class(1), Merge Class(1), Remove Attribute Modifier(1), Move And Rename Method(1)]"
net.hasor.rsf.rpc.client.RsfClientWrappe,wrapper,76 -> 142,20f67a6769f682a42a6c0d8136397e5e25c212cd -> aa35c75dfe7ff112e3cadab418819b22d6cab6a2,"['https://github.com/zycgit/rsf/commit/e640dcd9f2a240c956bc21e2d688b76991aecb4e', 'https://github.com/zycgit/rsf/commit/20f67a6769f682a42a6c0d8136397e5e25c212cd', 'https://github.com/zycgit/rsf/commit/aa35c75dfe7ff112e3cadab418819b22d6cab6a2']",57,20,37,40,5.0,4.0,20.0,17.0,6.0,5.0,6.0,5.0,8,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Add Method Annotation(48), Move Method(27), Change Variable Type(10), Move Attribute(3), Remove Parameter Modifier(2), Add Attribute Modifier(2), Add Parameter Modifier(2), Move Class(1), Merge Class(1), Remove Attribute Modifier(1), Move And Rename Method(1)]"
net.hasor.rsf.center.server.manager.ServiceManager,buildFailedResult,332 -> 338,ec4c0f7c19b2bf955a33d89694839d8fc9ba5ab7 -> 4426adbe00c22345bd8015192a380db68674f778,"['https://github.com/zycgit/rsf/commit/575ee4f0df96eeccea67680c076e881691365ee1', 'https://github.com/zycgit/rsf/commit/ec4c0f7c19b2bf955a33d89694839d8fc9ba5ab7', 'https://github.com/zycgit/rsf/commit/4426adbe00c22345bd8015192a380db68674f778', 'https://github.com/zycgit/rsf/commit/a9cc8dffee781c3b810e1071571a4f13e43c6cfc', 'https://github.com/zycgit/rsf/commit/a948f292cab247559e6019f49f3f2d9336d0b023']",0,0,0,4,3.0,3.0,12.0,3.0,6.0,1.0,3.0,1.0,6,"rsf-center/rsf-center-runtime/src/main/java/net/hasor/rsf/center/server/manager/ServiceManager.java: [Extract Method(51), Change Variable Type(8), Rename Parameter(8), Change Method Access Modifier(6), Extract Variable(5), Rename Variable(4), Change Return Type(4), Add Parameter(3), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Attribute(1)]"
net.hasor.rsf.rpc.objects.socket.RsfBaseFormSocket,recovery,23 -> 24,a7707d244d36cb9cbe611eb320a6c2b7ad3eb499 -> 157ecd8b35e4dde9c1477fa9ac17d7720614b083,"['https://github.com/zycgit/rsf/commit/a7707d244d36cb9cbe611eb320a6c2b7ad3eb499', 'https://github.com/zycgit/rsf/commit/157ecd8b35e4dde9c1477fa9ac17d7720614b083']",11,2,9,22,5.0,4.0,20.0,13.0,9.0,5.0,3.0,2.0,9,"rsf-core/src/main/java/net/hasor/rsf/rpc/objects/socket/RsfBaseFormSocket.java: [Move Method(14), Extract Class(10), Remove Method Annotation(4)]"
net.hasor.rsf.address.InterServiceAddress,toURI,438 -> 439,61b762087e90963635828d21c2c88387b23f2d8c -> a9cc8dffee781c3b810e1071571a4f13e43c6cfc,"['https://github.com/zycgit/rsf/commit/61b762087e90963635828d21c2c88387b23f2d8c', 'https://github.com/zycgit/rsf/commit/a9cc8dffee781c3b810e1071571a4f13e43c6cfc']",0,0,0,51,2.0,1.0,4.0,4.0,8.0,8.0,1.0,1.0,8,"src/main/java/net/hasor/rsf/address/InterServiceAddress.java: [Change Method Access Modifier(1), Push Down Method(1)]"
net.hasor.rsf.address.InterServiceAddress,toServiceSchema,123 -> 439,ef27dc8b526776731915b706a80405383ae650c7 -> a9cc8dffee781c3b810e1071571a4f13e43c6cfc,"['https://github.com/zycgit/rsf/commit/ef27dc8b526776731915b706a80405383ae650c7', 'https://github.com/zycgit/rsf/commit/a9cc8dffee781c3b810e1071571a4f13e43c6cfc']",0,0,0,51,1.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,2,rsf-core/src/main/java/net/hasor/rsf/address/InterServiceAddress.java: [Extract Method(6)]
