Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.jwplayer.southpaw.util.ByteArraySet$Chunk,innerclass,107 -> 114,f812a4a8da0fc49527dcc1e76670f0149769e762 -> 3f37e646fd42d8a90e4550ae12a661ab07090df6,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/f812a4a8da0fc49527dcc1e76670f0149769e762', 'https://github.com/jwplayer/southpaw/commit/3f37e646fd42d8a90e4550ae12a661ab07090df6']",0,0,0,17,3.0,3.0,1.0,1.0,0.0,0.0,181.0,177.0,0.0,0.0,17.0,17.0,56.0,55.0,add[ size():4 arraycopy():1 getBytes():1 ] serialize[ size():6 put():6 getBytes():2 copyOfRange():1 allocate():1 array():1 toByteArray():1 ] contains[ compareTo():2 size():1 getBytes():1 ] deserializeCompact[ copyOfRange():3 ] Chunk[  ] remove[ copyOfRange():2 equals():2 compareTo():2 size():1 getBytes():1 ] deserialize[ copyOfRange():3 fromBytes():1 ] ,"src/main/java/com/jwplayer/southpaw/util/ByteArraySet.java: [Extract Method(92), Inline Method(30), Rename Variable(12), Rename Parameter(4), Add Attribute Modifier(2)]"
com.jwplayer.southpaw.state.RocksDBState,class,73 -> 109,236e565fedd18e21f5f68dd02eb8c6b1f779aa4d -> 2b4139fb0bac98e8ab00582e815549fef5b7a902,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/21ac5dca0ad24da3802c781290efeea4352c8cd0', 'https://github.com/jwplayer/southpaw/commit/6cdd913e7b5f0397a536f18064062f9d22fd3166', 'https://github.com/jwplayer/southpaw/commit/207ee6cc2e5c0efe563ba8d357f98224ee2e44a3', 'https://github.com/jwplayer/southpaw/commit/23e41ebd5e471f56d69c5efb96a1b0f8ebd455a5', 'https://github.com/jwplayer/southpaw/commit/0dcb4fb2e0c93e45e03c6e0fde0c9245b2e102d5', 'https://github.com/jwplayer/southpaw/commit/a834dca3b747cb8bb1145aedb442eab7bfb311a4', 'https://github.com/jwplayer/southpaw/commit/847eba08a9697c7fd10f064be0dcc62c05e03718', 'https://github.com/jwplayer/southpaw/commit/c2da734ea81bda1c1b4cb9c31cf5301846649c2d', 'https://github.com/jwplayer/southpaw/commit/c162ab4a54840e09bce77821c1a456470c8301e6', 'https://github.com/jwplayer/southpaw/commit/a587ab1c5926e195342acb5c097e092d7bc27699', 'https://github.com/jwplayer/southpaw/commit/b1b6aac16fd84393f77afc295cb6b08c28a784ca', 'https://github.com/jwplayer/southpaw/commit/ea443adcfb4d5d62b274254c0e16976de7d3cdcf', 'https://github.com/jwplayer/southpaw/commit/27f7c4901698865ee2abeaa69c969e9bd86c501b', 'https://github.com/jwplayer/southpaw/commit/236e565fedd18e21f5f68dd02eb8c6b1f779aa4d', 'https://github.com/jwplayer/southpaw/commit/2b4139fb0bac98e8ab00582e815549fef5b7a902']",0,0,0,17,27.0,27.0,3.0,3.0,1.0,1.0,441.0,438.0,0.0,0.0,107.0,107.0,74.0,74.0,backup[ backup():2 getScheme():2 close():2 toLowerCase():1 getDefault():1 getLocalBackupPath():1 setMaxBackgroundOperations():1 createNewBackup():1 getPath():1 purgeOldBackups():1 exists():1 setShareTableFiles():1 mkdir():1 open():1 syncToS3():1 ] restore[ getPath():3 close():3 getScheme():2 restore():2 warn():2 exists():2 restoreDbFromLatestBackup():1 toLowerCase():1 getBackupInfo():1 getDefault():1 getLocalBackupPath():1 syncFromS3():1 configure():1 delete():1 setMaxBackgroundOperations():1 size():1 purgeOldBackups():1 setShareTableFiles():1 mkdir():1 open():1 ] configure[ get():8 checkNotNull():7 getOrDefault():5 size():4 add():2 setNumLevels():2 setMaxBackgroundFlushes():2 setIncreaseParallelism():2 setMaxSubcompactions():2 setMaxBackgroundCompactions():2 setCreateMissingColumnFamilies():2 setMaxWriteBufferNumber():2 put():2 setCreateIfMissing():2 setCompactionStyle():2 getPath():2 toString():2 listColumnFamilies():1 longValue():1 setCompactionReadaheadSize():1 optimizeLevelStyleCompaction():1 open():1 ] getLocalBackupPath[ getPath():3 checkNotNull():1 endsWith():1 ] RocksDBState[ loadLibrary():1 ] delete[ get():3 close():2 destroyDB():1 checkNotNull():1 getPath():1 delete():1 remove():1 ] put[ checkNotNull():2 size():1 flush():1 get():1 put():1 ] createKeySpace[ put():2 createKeySpace():1 createColumnFamily():1 containsKey():1 getBytes():1 ] flush[ close():6 get():5 getValue():4 getKey():3 entrySet():3 setWaitForFlush():2 clear():2 put():2 getBytes():2 flush():2 setDisableWAL():2 write():2 checkNotNull():1 ] get[ get():5 checkNotNull():1 ] close[ close():3 clear():2 getValue():1 entrySet():1 ] deleteBackups[ getScheme():2 deleteDirectory():2 deleteKeys():1 toLowerCase():1 getLocalBackupPath():1 ] iterate[ get():2 checkNotNull():1 newIterator():1 ] ,"src/main/java/com/jwplayer/southpaw/state/RocksDBState.java: [Inline Method(14), Extract Method(10), Change Variable Type(8), Replace Variable With Attribute(8)]"
com.jwplayer.southpaw.Southpaw,class,113 -> 114,7be023901425c7408cfe80390b25e639502e6e1d -> 3f37e646fd42d8a90e4550ae12a661ab07090df6,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/6ec4cf93b7e69777ca31791d61fb16c735b83764', 'https://github.com/jwplayer/southpaw/commit/21ac5dca0ad24da3802c781290efeea4352c8cd0', 'https://github.com/jwplayer/southpaw/commit/6cdd913e7b5f0397a536f18064062f9d22fd3166', 'https://github.com/jwplayer/southpaw/commit/23e41ebd5e471f56d69c5efb96a1b0f8ebd455a5', 'https://github.com/jwplayer/southpaw/commit/c162ab4a54840e09bce77821c1a456470c8301e6', 'https://github.com/jwplayer/southpaw/commit/a587ab1c5926e195342acb5c097e092d7bc27699', 'https://github.com/jwplayer/southpaw/commit/074757b9bd813a8022ea10f47566a594eb6f2719', 'https://github.com/jwplayer/southpaw/commit/24d0988938682523a91132d66958b1f64e48c21f', 'https://github.com/jwplayer/southpaw/commit/9346ab7211ce4476c20f934870b377524dd196af', 'https://github.com/jwplayer/southpaw/commit/fd4dbe89fc721bb03d73881cc813912b5f3112a8', 'https://github.com/jwplayer/southpaw/commit/7e12ceb070cf2b9899c7f0e352d02273b2df53fc', 'https://github.com/jwplayer/southpaw/commit/5562421d02cf9429b8e6e47fe017b5f587240eaa', 'https://github.com/jwplayer/southpaw/commit/20e0d2ac5491d0656c2a1d96c13e09064185202c', 'https://github.com/jwplayer/southpaw/commit/236e565fedd18e21f5f68dd02eb8c6b1f779aa4d', 'https://github.com/jwplayer/southpaw/commit/922aa40397a255c55bb45c03df93eaf02645ca68', 'https://github.com/jwplayer/southpaw/commit/2b4139fb0bac98e8ab00582e815549fef5b7a902', 'https://github.com/jwplayer/southpaw/commit/2f8fbc004dacc81f24695826ce5ff226333d7c5b', 'https://github.com/jwplayer/southpaw/commit/5b68c31ba86fafa45f729eb64a44ab4980217d45', 'https://github.com/jwplayer/southpaw/commit/7be023901425c7408cfe80390b25e639502e6e1d', 'https://github.com/jwplayer/southpaw/commit/3f37e646fd42d8a90e4550ae12a661ab07090df6']",20,3,17,17,27.0,26.0,1.0,1.0,26.0,26.0,391.0,382.0,0.0,0.0,133.0,129.0,80.0,78.0,createFkIndex[ get():1 configure():1 ] scrubParentIndices[ checkNotNull():5 getChildren():2 get():2 createParentIndexName():2 remove():2 scrubParentIndices():1 getForeignKeys():1 copyOf():1 ] createDenormalizedRecords[ get():4 getDenormalizedName():4 debug():2 update():2 getValue():2 mark():2 format():1 getEntity():1 getBytes():1 getLevel():1 createDenormalizedRecord():1 equals():1 toString():1 writeValueAsString():1 write():1 ] createInternalRecord[ getKey():1 getValue():1 entrySet():1 toMap():1 setAdditionalProperty():1 ] commit[ getValue():4 entrySet():4 flush():3 getKey():1 serialize():1 createDePKEntryName():1 commit():1 put():1 getBytes():1 ] main[ has():6 toString():2 add():1 restore():1 valueOf():1 printHelpOn():1 run():1 parse():1 valuesOf():1 getInputStream():1 setLevel():1 exit():1 load():1 getRootLogger():1 deleteBackups():1 deleteState():1 ] run[ build():1 ] calculateTotalLag[ update():2 getValue():1 getKey():1 getLag():1 entrySet():1 get():1 ] createOutputTopic[ checkNotNull():2 forName():2 get():2 toString():2 newInstance():2 createTopicConfig():1 createTopic():1 ] updateJoinIndex[ checkNotNull():2 get():2 getJoinKey():2 value():2 add():1 getForeignKeys():1 size():1 createJoinIndexName():1 toByteArray():1 equals():1 remove():1 ] loadRelations[ readValue():1 size():1 addAll():1 loadFileAsString():1 toArray():1 asList():1 ] createDenormalizedRecord[ get():3 scrubParentIndices():2 getEntity():2 setRecord():1 createInternalRecord():1 updateParentIndex():1 values():1 isEmpty():1 readByPK():1 getParentKey():1 getIndexEntry():1 put():1 getChildren():1 createDenormalizedRecord():1 toByteArray():1 createJoinIndexName():1 setAdditionalProperty():1 setChildren():1 ] Southpaw[ checkNotNull():9 get():7 getDenormalizedName():3 put():2 info():2 backup():1 commit():1 addShutdownHook():1 createOutputTopic():1 getBytes():1 setLevel():1 toLevel():1 loadRelations():1 putAll():1 getRuntime():1 close():1 deserialize():1 getKey():1 entrySet():1 createDePKEntryName():1 configure():1 registerOutputTopic():1 createKeySpace():1 createIndices():1 toString():1 validateRootRelations():1 registerInputTopic():1 createInputTopics():1 ] close[ close():2 ] validateChildRelation[ checkNotNull():3 getEntity():3 format():2 getJoinKey():1 getParentKey():1 ] createChildIndices[ createFkIndex():2 getChildren():2 getEntity():2 put():2 createJoinIndexName():1 createParentIndexName():1 createChildIndices():1 ] deleteBackups[ warn():1 mark():1 deleteBackups():1 ] deleteState[ warn():1 delete():1 mark():1 ] createTopic[ checkNotNull():3 forName():3 get():3 toString():3 newInstance():3 configure():3 createTopicConfig():1 createTopic():1 ] createTopicConfig[ checkNotNull():3 get():3 putAll():1 ] reportRecordsToCreate[ getValue():2 update():2 getKey():1 entrySet():1 get():1 ] restore[ restore():1 size():1 putAll():1 time():1 createInputTopics():1 info():1 ] updateParentIndex[ checkNotNull():4 add():1 get():1 createParentIndexName():1 ] createDePKEntryName[ join():1 getDenormalizedName():1 ] calculateRecordsToCreate[ update():2 getValue():1 getKey():1 size():1 entrySet():1 get():1 getDenormalizedName():1 ] build[ getValue():8 get():7 getKey():5 start():5 getTime():4 commit():3 calculateTotalLag():3 info():3 calculateRecordsToCreate():3 createDenormalizedRecords():2 update():2 value():2 entrySet():2 clear():2 getIndexEntry():2 contains():2 addAll():2 toByteArray():2 equals():2 reset():2 time():2 mark():2 next():1 compare():1 backup():1 toList():1 updateJoinIndex():1 getLag():1 stream():1 getJoinKey():1 getDenormalizedName():1 map():1 key():1 add():1 reportRecordsToCreate():1 hasNext():1 sort():1 getEntity():1 readNext():1 getForeignKeys():1 size():1 createParentIndexName():1 createJoinIndexName():1 getRelation():1 collect():1 reportTotalLag():1 ] createIndices[ getChildren():1 createChildIndices():1 ] createJoinIndexName[ getJoinKey():1 join():1 getEntity():1 ] createParentIndexName[ getEntity():2 join():1 getParentKey():1 ] getRelation[ getChildren():2 equals():2 getEntity():2 checkNotNull():1 getRelation():1 ] validateRootRelations[ checkNotNull():3 getDenormalizedName():3 getChildren():2 format():2 getEntity():1 validateChildRelation():1 ] createInputTopics[ getChildren():2 getEntity():2 createTopic():1 putAll():1 createInputTopics():1 put():1 ] reportTotalLag[ getValue():2 update():2 getKey():1 entrySet():1 get():1 ] ,"src/test/java/com/jwplayer/southpaw/SouthpawEndToEndTest.java: [Extract Method(86), Change Variable Type(8), Rename Variable(4), Replace Variable With Attribute(4), Extract Variable(3), Change Attribute Access Modifier(1), Move Attribute(1)]"
com.jwplayer.southpaw.state.RocksDBStateTest,class,24 -> 25,c2da734ea81bda1c1b4cb9c31cf5301846649c2d -> eff51ecc6b71f93eea5ccc8abae69cfd631a555d,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/ab8e11e1b108a52d5f2eebe30dd6af431120f0e9', 'https://github.com/jwplayer/southpaw/commit/c2da734ea81bda1c1b4cb9c31cf5301846649c2d', 'https://github.com/jwplayer/southpaw/commit/eff51ecc6b71f93eea5ccc8abae69cfd631a555d', 'https://github.com/jwplayer/southpaw/commit/c162ab4a54840e09bce77821c1a456470c8301e6', 'https://github.com/jwplayer/southpaw/commit/ea443adcfb4d5d62b274254c0e16976de7d3cdcf', 'https://github.com/jwplayer/southpaw/commit/44f04b1dd08575af2c41c6f35e0da359ce234f02']",36,14,22,7,12.0,11.0,1.0,1.0,0.0,0.0,128.0,121.0,0.0,0.0,40.0,41.0,21.0,19.0,createConfig[ put():7 ] delete[ delete():1 ] tearDown[ delete():1 ] put[ getBytes():3 flush():1 get():1 assertEquals():1 put():1 ] flushKeySpace[ getBytes():4 get():2 assertEquals():2 flush():1 put():1 ] backupAndRestore[ assertEquals():3 deleteBackups():2 next():1 getKey():1 getValue():1 backup():1 restore():1 hasNext():1 toString():1 iterate():1 ] createKeySpace[ getBytes():3 createKeySpace():1 flush():1 get():1 assertEquals():1 put():1 ] flush[ getBytes():4 get():2 assertEquals():2 flush():1 put():1 ] get[ get():1 assertEquals():1 getBytes():1 ] setUp[ getBytes():2 createKeySpace():1 flush():1 createConfig():1 toString():1 configure():1 put():1 ] deleteValue[ assertNull():1 get():1 delete():1 getBytes():1 ] close[ close():1 ] iterate[ assertEquals():3 next():1 getKey():1 getValue():1 hasNext():1 toString():1 close():1 iterate():1 ] ,"src/test/java/com/jwplayer/southpaw/state/RocksDBStateTest.java: [Extract Method(12), Add Thrown Exception Type(6), Inline Variable(3)]"
com.jwplayer.southpaw.topic.InMemoryTopic,class,90 -> 113,1cece58bb76bd27f8a5700df1b729440caa7dc0b -> 7be023901425c7408cfe80390b25e639502e6e1d,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/21ac5dca0ad24da3802c781290efeea4352c8cd0', 'https://github.com/jwplayer/southpaw/commit/6cdd913e7b5f0397a536f18064062f9d22fd3166', 'https://github.com/jwplayer/southpaw/commit/1cece58bb76bd27f8a5700df1b729440caa7dc0b', 'https://github.com/jwplayer/southpaw/commit/7be023901425c7408cfe80390b25e639502e6e1d', 'https://github.com/jwplayer/southpaw/commit/3f37e646fd42d8a90e4550ae12a661ab07090df6']",90,56,34,36,10.0,8.0,2.0,2.0,33.0,33.0,115.0,131.0,0.0,0.0,20.0,15.0,21.0,16.0,flush[  ] getLag[ size():1 getCurrentOffset():1 ] resetCurrentOffset[  ] InMemoryTopic[ abs():1 nextInt():1 ] commit[  ] readByPK[ get():1 value():1 ] write[ toByteArray():2 put():2 add():1 size():1 ] getCurrentOffset[  ] readNext[ add():1 iterator():1 size():1 intValue():1 get():1 ] ,"src/main/java/com/jwplayer/southpaw/topic/InMemoryTopic.java: [Extract Method(12), Extract Variable(5), Add Attribute Modifier(4), Change Return Type(4), Replace Attribute With Variable(4), Extract And Move Method(4), Move And Inline Method(4), Rename Method(2), Change Attribute Type(2)] src/test/java/com/jwplayer/southpaw/topic/InMemoryTopicTest.java: [Inline Method(10), Inline Variable(5), Change Attribute Type(4)]"
com.jwplayer.southpaw.Southpaw,class,109 -> 110,2b4139fb0bac98e8ab00582e815549fef5b7a902 -> 2f8fbc004dacc81f24695826ce5ff226333d7c5b,"['https://github.com/jwplayer/southpaw/commit/e7d7e30b048e0da7a1a9f443aa105e9e4f853ee2', 'https://github.com/jwplayer/southpaw/commit/6ec4cf93b7e69777ca31791d61fb16c735b83764', 'https://github.com/jwplayer/southpaw/commit/21ac5dca0ad24da3802c781290efeea4352c8cd0', 'https://github.com/jwplayer/southpaw/commit/6cdd913e7b5f0397a536f18064062f9d22fd3166', 'https://github.com/jwplayer/southpaw/commit/23e41ebd5e471f56d69c5efb96a1b0f8ebd455a5', 'https://github.com/jwplayer/southpaw/commit/c162ab4a54840e09bce77821c1a456470c8301e6', 'https://github.com/jwplayer/southpaw/commit/a587ab1c5926e195342acb5c097e092d7bc27699', 'https://github.com/jwplayer/southpaw/commit/074757b9bd813a8022ea10f47566a594eb6f2719', 'https://github.com/jwplayer/southpaw/commit/24d0988938682523a91132d66958b1f64e48c21f', 'https://github.com/jwplayer/southpaw/commit/9346ab7211ce4476c20f934870b377524dd196af', 'https://github.com/jwplayer/southpaw/commit/fd4dbe89fc721bb03d73881cc813912b5f3112a8', 'https://github.com/jwplayer/southpaw/commit/7e12ceb070cf2b9899c7f0e352d02273b2df53fc', 'https://github.com/jwplayer/southpaw/commit/5562421d02cf9429b8e6e47fe017b5f587240eaa', 'https://github.com/jwplayer/southpaw/commit/20e0d2ac5491d0656c2a1d96c13e09064185202c', 'https://github.com/jwplayer/southpaw/commit/236e565fedd18e21f5f68dd02eb8c6b1f779aa4d', 'https://github.com/jwplayer/southpaw/commit/922aa40397a255c55bb45c03df93eaf02645ca68', 'https://github.com/jwplayer/southpaw/commit/2b4139fb0bac98e8ab00582e815549fef5b7a902', 'https://github.com/jwplayer/southpaw/commit/2f8fbc004dacc81f24695826ce5ff226333d7c5b', 'https://github.com/jwplayer/southpaw/commit/5b68c31ba86fafa45f729eb64a44ab4980217d45', 'https://github.com/jwplayer/southpaw/commit/7be023901425c7408cfe80390b25e639502e6e1d', 'https://github.com/jwplayer/southpaw/commit/3f37e646fd42d8a90e4550ae12a661ab07090df6']",204,29,175,8,30.0,25.0,1.0,1.0,70.0,28.0,411.0,349.0,0.0,0.0,147.0,121.0,80.0,69.0,createFkIndex[ get():1 configure():1 ] scrubParentIndices[ checkNotNull():5 getChildren():2 get():2 createParentIndexName():2 remove():2 scrubParentIndices():1 getForeignKeys():1 copyOf():1 ] createDenormalizedRecords[ get():4 getDenormalizedName():4 debug():2 update():2 getValue():2 mark():2 format():1 getEntity():1 getBytes():1 getLevel():1 createDenormalizedRecord():1 equals():1 toString():1 writeValueAsString():1 write():1 ] createInternalRecord[ getKey():1 getValue():1 entrySet():1 toMap():1 setAdditionalProperty():1 ] commit[ getValue():4 entrySet():4 flush():3 getKey():1 serialize():1 createDePKEntryName():1 commit():1 put():1 getBytes():1 ] main[ has():6 toString():2 add():1 restore():1 valueOf():1 printHelpOn():1 run():1 parse():1 valuesOf():1 getInputStream():1 setLevel():1 exit():1 load():1 getRootLogger():1 deleteBackups():1 deleteState():1 ] run[ build():1 ] calculateTotalLag[ update():2 getValue():1 getKey():1 getLag():1 entrySet():1 get():1 ] createOutputTopic[ checkNotNull():2 forName():2 get():2 toString():2 newInstance():2 createTopicConfig():1 createTopic():1 ] updateJoinIndex[ checkNotNull():2 get():2 getJoinKey():2 value():2 add():1 getForeignKeys():1 size():1 createJoinIndexName():1 toByteArray():1 equals():1 remove():1 ] loadRelations[ readValue():1 size():1 addAll():1 loadFileAsString():1 toArray():1 asList():1 ] createDenormalizedRecord[ get():3 scrubParentIndices():2 getEntity():2 setRecord():1 createInternalRecord():1 updateParentIndex():1 values():1 isEmpty():1 readByPK():1 getParentKey():1 getIndexEntry():1 put():1 getChildren():1 createDenormalizedRecord():1 toByteArray():1 createJoinIndexName():1 setAdditionalProperty():1 setChildren():1 ] Southpaw[ checkNotNull():9 get():7 getDenormalizedName():3 put():2 info():2 backup():1 commit():1 addShutdownHook():1 createOutputTopic():1 getBytes():1 setLevel():1 toLevel():1 loadRelations():1 putAll():1 getRuntime():1 close():1 deserialize():1 getKey():1 entrySet():1 createDePKEntryName():1 configure():1 registerOutputTopic():1 createKeySpace():1 createIndices():1 toString():1 validateRootRelations():1 registerInputTopic():1 createInputTopics():1 ] close[ close():2 ] validateChildRelation[ checkNotNull():3 getEntity():3 format():2 getJoinKey():1 getParentKey():1 ] createChildIndices[ createFkIndex():2 getChildren():2 getEntity():2 put():2 createJoinIndexName():1 createParentIndexName():1 createChildIndices():1 ] deleteBackups[ warn():1 mark():1 deleteBackups():1 ] deleteState[ warn():1 delete():1 mark():1 ] createTopic[ checkNotNull():3 forName():3 get():3 toString():3 newInstance():3 configure():3 createTopicConfig():1 createTopic():1 ] createTopicConfig[ checkNotNull():3 get():3 putAll():1 ] reportRecordsToCreate[ getValue():2 update():2 getKey():1 entrySet():1 get():1 ] restore[ restore():1 size():1 putAll():1 time():1 createInputTopics():1 info():1 ] updateParentIndex[ checkNotNull():4 add():1 get():1 createParentIndexName():1 ] createDePKEntryName[ join():1 getDenormalizedName():1 ] calculateRecordsToCreate[ update():2 getValue():1 getKey():1 size():1 entrySet():1 get():1 getDenormalizedName():1 ] build[ getValue():8 get():7 getKey():5 start():5 getTime():4 commit():3 calculateTotalLag():3 info():3 calculateRecordsToCreate():3 createDenormalizedRecords():2 update():2 value():2 entrySet():2 clear():2 getIndexEntry():2 contains():2 addAll():2 toByteArray():2 equals():2 reset():2 time():2 mark():2 next():1 compare():1 backup():1 toList():1 updateJoinIndex():1 getLag():1 stream():1 getJoinKey():1 getDenormalizedName():1 map():1 key():1 add():1 reportRecordsToCreate():1 hasNext():1 sort():1 getEntity():1 readNext():1 getForeignKeys():1 size():1 createParentIndexName():1 createJoinIndexName():1 getRelation():1 collect():1 reportTotalLag():1 ] createIndices[ getChildren():1 createChildIndices():1 ] createJoinIndexName[ getJoinKey():1 join():1 getEntity():1 ] createParentIndexName[ getEntity():2 join():1 getParentKey():1 ] getRelation[ getChildren():2 equals():2 getEntity():2 checkNotNull():1 getRelation():1 ] validateRootRelations[ checkNotNull():3 getDenormalizedName():3 getChildren():2 format():2 getEntity():1 validateChildRelation():1 ] createInputTopics[ getChildren():2 getEntity():2 createTopic():1 putAll():1 createInputTopics():1 put():1 ] reportTotalLag[ getValue():2 update():2 getKey():1 entrySet():1 get():1 ] ,"src/main/java/com/jwplayer/southpaw/Southpaw.java: [Extract Class(16), Move Method(11), Change Method Access Modifier(7), Change Variable Type(6), Rename Variable(4), Add Method Modifier(3), Move Attribute(2), Add Parameter(1)] src/test/java/com/jwplayer/southpaw/SouthpawEndToEndTest.java: [Change Attribute Type(2)] src/test/java/com/jwplayer/southpaw/SouthpawTest.java: [Extract Class(9), Change Variable Type(8), Move Method(4), Move Attribute(3), Change Attribute Type(2), Move And Rename Method(1)]"
