Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
tenksteps.webapp.dashboard.DashboardWebAppVerticle,class,176 -> 177,bd3dc041bc81358dbbe19fa9a70de344774b1c0c -> d3f293210f144c258361fb362d18442eee2c8a82,0,0,0,1,15.0,15.0,2.0,2.0,50.0,50.0,86.0,78.0,0.0,0.0,67.0,68.0,20.0,18.0,forward[ eventBus():1 send():1 value():1 ] main[ subscribe():1 rxDeployVerticle():1 setProperty():1 vertx():1 error():1 info():1 ] rxStart[ handler():3 create():3 subscribe():2 setAddressRegex():2 route():2 addInboundPermitted():1 consumerConfig():1 forward():1 toFlowable():1 reroute():1 router():1 rxListen():1 requestHandler():1 ignoreElement():1 createHttpServer():1 get():1 bridge():1 addOutboundPermitted():1 ] ,part2-steps-challenge/dashboard-webapp/src/main/java/tenksteps/webapp/dashboard/DashboardWebAppVerticle.java: [Extract Method(52)]
tenksteps.activities.ActivityApiVerticle,class,59 -> 60,cf66c5e3f03b74510a60d68ee2eaa8ba841c84bc -> babbe3d8ce1ebdaae9b282e64e78d8d0d7ecc26b,23,7,16,3,12.0,9.0,2.0,2.0,1.0,1.0,22.0,15.0,0.0,0.0,16.0,10.0,2.0,2.0,pgOpts[ setPassword():1 setHost():1 setDatabase():1 setUser():1 ] main[ subscribe():1 rxDeployVerticle():1 setProperty():1 vertx():1 error():1 info():1 ] rxStart[ create():2 zip():1 router():1 rxListen():1 requestHandler():1 ignoreElement():1 createHttpServer():1 rxConnect():1 pgOpts():1 producer():1 consumer():1 ] ,"part2-steps-challenge/activity-service/src/main/java/tenksteps/activities/ActivityApiVerticle.java: [Change Attribute Access Modifier(2), Extract Variable(2), Move Method(1)]"
tenksteps.userprofiles.UserProfileApiVerticle,class,51 -> 52,13ed19124199ade5a7977fd3ee2fdac3d0b3aa2a -> 71f736473681c6f65e2cf0702ca525d5993bcfa9,3,0,3,3,10.0,10.0,2.0,2.0,91.0,91.0,109.0,106.0,0.0,0.0,49.0,49.0,23.0,22.0,handleRegistrationError[ fail():1 contains():1 getMessage():1 fail500():1 ] isValidRegistrationRequest[ containsKey():5 ] mongoConfig[ put():3 ] main[ subscribe():1 rxDeployVerticle():1 vertx():1 error():1 info():1 ] fail500[ fail():1 error():1 ] completeRegistration[ encode():1 response():1 end():1 putHeader():1 getString():1 put():1 ] rxStart[ handler():2 post():2 create():2 router():1 rxListen():1 requestHandler():1 ignoreElement():1 createHttpServer():1 mongoConfig():1 createShared():1 ] register[ put():5 getString():4 emptyList():2 rxFindOneAndUpdate():1 isValidRegistrationRequest():1 subscribe():1 getBodyAsJson():1 completeRegistration():1 fail():1 handleRegistrationError():1 rxInsertUser():1 getBoolean():1 flatMapMaybe():1 ] ,"part2-steps-challenge/user-profiles/src/main/java/tenksteps/userprofiles/UserProfileApiVerticle.java: [Extract Method(10), Extract Variable(5)]"
tenksteps.activities.EventsVerticle,class,75 -> 99,3a121524da54d0e3bf2fdd751bbae8572baeae78 -> 5ba91c86ad2b5e07b28a0019defac4b76fba1f54,18,5,13,7,18.0,18.0,2.0,2.0,14.0,7.0,45.0,39.0,0.0,0.0,37.0,35.0,9.0,7.0,rxStart[ complete():1 ] ,part2-steps-challenge/activity-service/src/main/java/tenksteps/activities/EventsVerticle.java: [Extract Method(9)]
tenksteps.publicapi.PublicApiVerticle,class,151 -> 167,cb4c8805664395bd58a985ad301c58ef03894d1b -> 31896d00f89acfa62ce37d8b2d5202c7c4f7df78,6,4,2,10,19.0,19.0,2.0,2.0,54.0,54.0,121.0,121.0,0.0,0.0,64.0,63.0,20.0,20.0,monthlySteps[  ] dailySteps[  ] totalSteps[  ] updateUser[  ] internalError[ fail():1 error():1 ] fetchUser[  ] main[ subscribe():1 rxDeployVerticle():1 setProperty():1 vertx():1 error():1 info():1 ] rxStart[ handler():9 get():4 post():3 create():2 put():2 router():1 rxListen():1 requestHandler():1 ignoreElement():1 createHttpServer():1 ] register[ post():1 setStatusCode():1 subscribe():1 getBodyAsJson():1 response():1 end():1 internalError():1 rxSendJson():1 statusCode():1 ] token[  ] ,part2-steps-challenge/public-api/src/main/java/tenksteps/publicapi/PublicApiVerticle.java: [Extract Method(12)]
