Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.vrg.rapid.RpcServer,stopServer,47 -> 50,3e8851e9ae72a1a980b4a6644479945a8ad1418f -> ea2f22171dbfcc2033b69a1199f70d5d3ba7481c,12,4,8,7,0.0,0.0,5.0,3.0,1.0,1.0,2.0,1.0,1,"src/main/java/com/vrg/rapid/RpcServer.java: [Extract Class(9), Move Method(7), Move Attribute(1)]"
com.vrg.rapid.RpcClient,createLongLivedConnections,104 -> 142,3cc8f91caec333498d4d3552ed7aa7634f994c43 -> 856c3e43790bcf5ba1172871c993f0d1633ff566,31,2,29,6,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,2,rapid/src/main/java/com/vrg/rapid/RpcClient.java: [Extract Method(10)]
com.vrg.rapid.MembershipService$LinkFailureDetectorRunner,run,81 -> 98,58cbeff461f0f184ca0197f904588cd77340794f -> fc87d21bd0aef103949ce19ed485985f7af57df9,0,0,0,3,6.0,6.0,35.0,33.0,27.0,26.0,7.0,6.0,28,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.DeferredReceiveInterceptor,interceptCall,63 -> 116,1981c44390df08672babdf80e6ef385f315fbb27 -> 4cc8f8c3fc729f221930c7e3428ffeccc806742a,31,5,26,8,4.0,4.0,18.0,8.0,6.0,2.0,4.0,3.0,6,src/main/java/com/vrg/rapid/DeferredReceiveInterceptor.java: [Extract Class(2)]
com.vrg.rapid.MessagingTest,broadcast,31 -> 34,d86641a1d2f330bed6de60c0e2f37e45baf67912 -> da5dd044926d1fcfe122740f89347c41509b8d5d,112,101,11,10,6.0,5.0,15.0,15.0,10.0,10.0,3.0,3.0,10,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.ClusterTest,buildCluster,137 -> 138,d94d03f5fcc415c2f435936a2ecf6eab9a239cdb -> 80cad4c64ecac1c475b68c543b578ac7aabc842f,52,48,4,3,3.0,3.0,12.0,12.0,6.0,5.0,4.0,4.0,6,"rapid/src/test/java/com/vrg/rapid/ClusterTest.java: [Extract Method(40), Rename Variable(8), Rename Parameter(4), Parameterize Variable(4), Rename Method(2)]"
com.vrg.rapid.MembershipService,respondToJoiners,259 -> 291,ff4f30d7c71f9021c0ddb412b7553bb0e0c21708 -> dc30ceab2c9e57138b3a2b4519c26b5c26a5d092,358,183,175,4,5.0,5.0,24.0,11.0,26.0,22.0,4.0,3.0,26,rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(42)]
com.vrg.rapid.RpcServer,blockUntilShutdown,47 -> 50,3e8851e9ae72a1a980b4a6644479945a8ad1418f -> ea2f22171dbfcc2033b69a1199f70d5d3ba7481c,12,4,8,7,0.0,0.0,5.0,3.0,1.0,1.0,2.0,1.0,1,"src/main/java/com/vrg/rapid/RpcServer.java: [Extract Class(9), Move Method(7), Move Attribute(1)]"
com.vrg.rapid.MembershipService,processProbeMessage,75 -> 258,cf1f4e77e8e018eb3547e8c24732e66ea0accfa9 -> 26ac9daa9979981cd76899750eb266340985cb57,77,54,23,11,3.0,2.0,3.0,10.0,1.0,5.0,1.0,2.0,1,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.MessagingTest,createAndStartMembershipService,23 -> 31,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> d86641a1d2f330bed6de60c0e2f37e45baf67912,19,10,9,16,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.MembershipService$Builder,Builder,75 -> 128,cf1f4e77e8e018eb3547e8c24732e66ea0accfa9 -> 397e5721c8c42711748258b5196b3be67d82b3b0,0,0,0,1,6.0,4.0,8.0,6.0,3.0,3.0,1.0,1.0,3,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.MessagingTest,joinWithSingleNodeBootstrap,284 -> 301,5271b37f02326d79b42f2ee6e9a73df5e7cbe780 -> bfed8d4437182bd53775b2d19a1d2877e6009e1c,126,59,67,28,9.0,9.0,22.0,22.0,20.0,16.0,2.0,2.0,22,"rapid/src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(7), Extract Variable(5)]"
com.vrg.rapid.MessagingTest,joinWithMultipleNodesCheckConfiguration,284 -> 301,5271b37f02326d79b42f2ee6e9a73df5e7cbe780 -> bfed8d4437182bd53775b2d19a1d2877e6009e1c,126,59,67,28,8.0,8.0,25.0,25.0,19.0,15.0,3.0,3.0,12,"rapid/src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(7), Extract Variable(5)]"
com.vrg.standalone.StandaloneAgent,StandaloneAgent,315 -> 322,a80a5bd24d312212221d46dba46084e76bc812d6 -> 85ade8350e771c0a8849d68245afa564f8293b5e,18,11,7,14,3.0,1.0,12.0,4.0,4.0,0.0,2.0,1.0,4,"rapid-examples/src/main/java/com/vrg/standalone/StandaloneAgent.java: [Remove Thrown Exception Type(3), Move Method(3), Move Attribute(2), Change Method Access Modifier(1), Move And Rename Method(1)]"
com.vrg.rapid.MembershipService$LinkUpdateBatcher,run,75 -> 103,cf1f4e77e8e018eb3547e8c24732e66ea0accfa9 -> 1e03f37b4e6251afbfa54a33c00e374df89f71d6,0,0,0,5,6.0,4.0,20.0,15.0,17.0,13.0,6.0,4.0,17,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.FastPaxos,handleFastRoundProposal,299 -> 300,b736b57a5d2cb1d49461953e9f4c03784f4a9ab9 -> 2554520e79ba276e35a1b8a4f69d3459a7f189fb,22,10,12,1,2.0,2.0,29.0,25.0,19.0,17.0,7.0,6.0,17,"rapid/src/main/java/com/vrg/rapid/FastPaxos.java: [Extract Method(18), Remove Method Annotation(3), Add Parameter(3), Change Attribute Type(2), Add Attribute Modifier(2)]"
com.vrg.rapid.RpcServer,startServer,47 -> 63,3e8851e9ae72a1a980b4a6644479945a8ad1418f -> 1981c44390df08672babdf80e6ef385f315fbb27,104,45,59,5,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2,"src/main/java/com/vrg/rapid/RpcServer.java: [Extract Class(9), Move Method(7), Move Attribute(1)]"
com.vrg.rapid.MessagingTest,createMembershipView,23 -> 31,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> d86641a1d2f330bed6de60c0e2f37e45baf67912,19,10,9,16,2.0,1.0,12.0,12.0,3.0,4.0,3.0,3.0,3,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.MembershipView,MembershipView,331 -> 349,cdf636310d447b55af33cb973729da94fb575264 -> 755223e9eab5fa7fcb464f096d2d7f7a21b57c09,49,44,5,3,4.0,4.0,16.0,16.0,5.0,4.0,3.0,3.0,4,"rapid/src/main/java/com/vrg/rapid/MembershipView.java: [Extract Method(37), Extract Variable(10)]"
com.vrg.rapid.MembershipService,decideViewChange,289 -> 293,463e267e1c924527c62bb8092ad2e25cf0390c3e -> b337ed4469a68e8cd5beae7df17baf9324305100,86,22,64,3,9.0,10.0,39.0,38.0,26.0,25.0,5.0,5.0,38,rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(66)]
com.vrg.rapid.ClusterTest,extendCluster,92 -> 98,53a891f83346272ee6495714951f6dcf49e4905c -> fc87d21bd0aef103949ce19ed485985f7af57df9,31,25,6,3,2.0,2.0,32.0,30.0,12.0,11.0,4.0,4.0,12,"src/test/java/com/vrg/rapid/ClusterTest.java: [Extract Method(315), Change Variable Type(36), Parameterize Variable(16), Rename Method(14), Rename Variable(8), Replace Variable With Attribute(8), Replace Loop With Pipeline(5), Extract Attribute(3), Add Thrown Exception Type(3), Remove Method Annotation(3), Change Method Access Modifier(2)]"
com.vrg.rapid.SharedResources,newNamedThreadFactory,226 -> 256,05f5c3f7fb02bd7a2ae096b0d7161311ea951398 -> 5f8cb446e3ac53a90549ca916c2aa1fa441fb370,2,1,1,12,2.0,2.0,4.0,4.0,7.0,6.0,1.0,1.0,8,"rapid/src/main/java/com/vrg/rapid/SharedResources.java: [Extract Class(6), Move Attribute(3)]"
com.vrg.rapid.SharedResources,newNamedThreadFactory,225 -> 226,efd82873869604895258268d37890a187af76c24 -> 05f5c3f7fb02bd7a2ae096b0d7161311ea951398,5,1,4,3,2.0,2.0,8.0,4.0,8.0,7.0,1.0,1.0,8,"rapid/src/main/java/com/vrg/rapid/SharedResources.java: [Extract Class(6), Move Attribute(3)]"
com.vrg.rapid.MessagingTest,createAndStartMembershipService,23 -> 31,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> d86641a1d2f330bed6de60c0e2f37e45baf67912,19,10,9,16,4.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.MessagingTest,rpcClientErrorHandling,284 -> 294,5271b37f02326d79b42f2ee6e9a73df5e7cbe780 -> e452ed0ea5ec7d025619d3ff9e93decae52f00c0,7,3,4,18,8.0,6.0,40.0,16.0,11.0,11.0,6.0,2.0,11,"rapid/src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(7), Extract Variable(5)]"
com.vrg.rapid.ClusterTest,extendCluster,135 -> 137,7cdd1693238ed8eb31e9a78f3b1893c1af904114 -> d94d03f5fcc415c2f435936a2ecf6eab9a239cdb,111,82,29,7,4.0,3.0,37.0,31.0,12.0,12.0,5.0,4.0,12,"src/test/java/com/vrg/rapid/ClusterTest.java: [Extract Method(315), Change Variable Type(36), Parameterize Variable(16), Rename Method(14), Rename Variable(8), Replace Variable With Attribute(8), Replace Loop With Pipeline(5), Extract Attribute(3), Add Thrown Exception Type(3), Remove Method Annotation(3), Change Method Access Modifier(2)]"
com.vrg.rapid.FastPaxos,handleFastRoundProposal,300 -> 301,2554520e79ba276e35a1b8a4f69d3459a7f189fb -> bfed8d4437182bd53775b2d19a1d2877e6009e1c,40,17,23,28,2.0,2.0,25.0,25.0,17.0,13.0,6.0,6.0,17,"rapid/src/main/java/com/vrg/rapid/FastPaxos.java: [Extract Method(18), Remove Method Annotation(3), Add Parameter(3), Change Attribute Type(2), Add Attribute Modifier(2)]"
com.vrg.rapid.ClusterTest,twentyFailuresOutOfFiftyNodes,92 -> 94,53a891f83346272ee6495714951f6dcf49e4905c -> 5227126846cb6f05bba5b02193b9ee1c442794b8,7,2,5,1,3.0,3.0,13.0,11.0,9.0,9.0,1.0,1.0,9,"src/test/java/com/vrg/rapid/ClusterTest.java: [Extract Method(315), Change Variable Type(36), Parameterize Variable(16), Rename Method(14), Rename Variable(8), Replace Variable With Attribute(8), Replace Loop With Pipeline(5), Extract Attribute(3), Add Thrown Exception Type(3), Remove Method Annotation(3), Change Method Access Modifier(2)]"
com.vrg.rapid.MessagingTest,oneWayPing,23 -> 31,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> d86641a1d2f330bed6de60c0e2f37e45baf67912,19,10,9,16,6.0,6.0,12.0,11.0,6.0,6.0,1.0,1.0,4,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.DeferredReceiveInterceptor,unblock,63 -> 116,1981c44390df08672babdf80e6ef385f315fbb27 -> 4cc8f8c3fc729f221930c7e3428ffeccc806742a,31,5,26,8,0.0,0.0,10.0,3.0,3.0,0.0,1.0,1.0,3,src/main/java/com/vrg/rapid/DeferredReceiveInterceptor.java: [Extract Class(2)]
com.vrg.rapid.SharedResources,SharedResources,225 -> 232,efd82873869604895258268d37890a187af76c24 -> 6b2a8f3e9ae1e55c3090eafa5999d5db259a85ed,18,12,6,1,3.0,2.0,7.0,7.0,4.0,4.0,1.0,1.0,4,"rapid/src/main/java/com/vrg/rapid/SharedResources.java: [Extract Class(6), Move Attribute(3)]"
com.vrg.rapid.RpcClient,updateLongLivedConnections,104 -> 142,3cc8f91caec333498d4d3552ed7aa7634f994c43 -> 856c3e43790bcf5ba1172871c993f0d1633ff566,31,2,29,6,2.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,3,rapid/src/main/java/com/vrg/rapid/RpcClient.java: [Extract Method(10)]
com.vrg.rapid.WatermarkBuffer,aggregateForProposal,190 -> 221,021014981193de5d64e0179195ecb421e6a3a839 -> afd9b504365d5226c13ab822be5ec1bbe8dfb024,8,6,2,5,3.0,2.0,4.0,6.0,7.0,9.0,1.0,1.0,12,"rapid/src/main/java/com/vrg/rapid/WatermarkBuffer.java: [Extract Method(62), Inline Variable(3)]"
com.vrg.rapid.MembershipService,processJoinPhaseTwoMessage,221 -> 237,afd9b504365d5226c13ab822be5ec1bbe8dfb024 -> 80e4acdebf66fd01c671b2cd5871f1fbf8b3b6a4,28,10,18,10,8.0,8.0,23.0,23.0,42.0,38.0,4.0,4.0,34,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.WatermarkBufferTest,watermarkTwoAnnouncementsPermutation,2 -> 12,499f7784ceacd134a3da606995726cc935955dce -> 5a2fad16096d4f34013b9c59e7643fd370ea9593,5,2,3,10,4.0,5.0,18.0,17.0,6.0,6.0,3.0,3.0,6,"src/test/java/com/vrg/WatermarkBufferTest.java: [Extract And Move Method(6), Rename Method(2), Change Method Access Modifier(2), Move Method(2), Add Parameter Modifier(2), Add Parameter(1), Add Method Modifier(1)]"
com.vrg.rapid.messaging.GrpcServer,shutdown,283 -> 285,26694bdb38c654e8f77ed00e2506f1013adfc934 -> ee02eff0616982271550caabe6713538c790b6ba,0,0,0,2,1.0,0.0,14.0,10.0,6.0,4.0,4.0,3.0,6,"rapid/src/main/java/com/vrg/rapid/messaging/GrpcServer.java: [Add Method Annotation(6), Extract Method(5), Change Method Access Modifier(5), Rename Method(2), Merge Parameter(2), Add Parameter(2), Move And Rename Class(1), Change Class Access Modifier(1), Extract Interface(1)]"
com.vrg.rapid.MembershipService,filterLinkUpdateMessages,164 -> 185,17cc5bac66786c5b653df38e73fad1b645a665e3 -> 538e894e4bd002b20801c447b686f170451d55b7,37,21,16,8,5.0,4.0,21.0,21.0,13.0,12.0,7.0,7.0,13,"rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(37), Rename Parameter(4)]"
