Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.wepay.waltz.common.message.MessageCodecV2,decode,303 -> 304,73aab90cdab9d7108df2eac94feebe602ed59222 -> 21c95b1cc676574d8794ce3fe671dcec10fb72ec,2,0,2,4,29.0,29.0,92.0,90.0,11.0,11.0,24.0,24.0,10,"waltz-common/src/main/java/com/wepay/waltz/common/message/MessageCodecV2.java: [Extract Method(28), Rename Variable(4), Parameterize Variable(4)]"
com.wepay.waltz.tools.client.ClientCliTest,createProperties,248 -> 250,1dd70a40ee593e98b311a7f4c843f87270c32df6 -> 2d2d66d771ed7c6e1cb1d3da1e67fadc8ce1ded6,0,0,0,4,2.0,1.0,3.0,8.0,1.0,3.0,1.0,1.0,3,"waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(16), Rename Parameter(4), Change Parameter Type(4), Add Thrown Exception Type(3)]"
com.wepay.waltz.tools.client.ClientCli$HighWaterMark,processCmd,54 -> 56,5e83efff24abc7f38fd1e5d2e52a724b141878ba -> ded8b29109c16332f700ef4961d50e382e39b40c,0,0,0,4,5.0,4.0,12.0,12.0,7.0,7.0,2.0,2.0,7,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Add Method Modifier(2), Move Method(2)]"
com.wepay.waltz.tools.storage.StorageCli$ListPartition,processCmd,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,4.0,4.0,40.0,18.0,14.0,8.0,7.0,3.0,8,"waltz-tools/src/main/java/com/wepay/waltz/tools/storage/StorageCli.java: [Extract Method(27), Add Parameter(6), Change Variable Type(4), Rename Variable(4)] waltz-tools/src/test/java/com/wepay/waltz/tools/storage/StorageCliTest.java: [Extract Method(8), Replace Attribute With Variable(4)]"
com.wepay.waltz.tools.client.ClientCli,getWaltzClientConfig,54 -> 68,5e83efff24abc7f38fd1e5d2e52a724b141878ba -> d365a59f132f9de7cd8a9273858c4416833ee43e,17,14,3,3,2.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,1,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Add Method Modifier(2), Move Method(2)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,shutdown,87 -> 88,0d7623fb7ff7145354e6462e7a7765c926f4dbfb -> 5ab1197a1072c6a26c28e9b28f87ecf415d92ae6,0,0,0,2,2.0,2.0,18.0,12.0,8.0,4.0,5.0,3.0,4,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
com.wepay.waltz.client.internal.network.WaltzNetworkClient$WaltzClientHandlerCallbacksImpl,onChannelActive,87 -> 88,0d7623fb7ff7145354e6462e7a7765c926f4dbfb -> 5ab1197a1072c6a26c28e9b28f87ecf415d92ae6,0,0,0,2,2.0,1.0,11.0,8.0,4.0,2.0,3.0,2.0,2,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
com.wepay.waltz.tools.cluster.ClusterCli$Verify,processCmd,140 -> 144,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> fd931c54a991e429d5383ebccc892424b55d3261,0,0,0,4,16.0,16.0,53.0,40.0,20.0,17.0,8.0,7.0,15,"waltz-tools/src/main/java/com/wepay/waltz/tools/cluster/ClusterCli.java: [Change Variable Type(44), Rename Variable(32), Inline Method(25), Extract Method(17), Change Parameter Type(8), Replace Loop With Pipeline(5), Parameterize Variable(4), Inline Variable(3), Rename Class(2), Change Attribute Type(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/cluster/ClusterCliTest.java: [Add Method Annotation(3), Change Method Access Modifier(2)]"
com.wepay.waltz.tools.client.ClientCli$Validate,configureOptions,43 -> 46,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> b12f4dc996ea4e21aa506141a730c9d480229638,0,0,0,10,2.0,2.0,20.0,20.0,8.0,7.0,1.0,1.0,7,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Rename Parameter(12), Replace Attribute With Variable(8), Rename Variable(4), Extract Attribute(3), Remove Parameter(3), Rename Attribute(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.tools.cluster.ClusterCli$Verify,processCmd,320 -> 336,e8b93429ccafca999132e4998a7d58ad0ecf832d -> c8e0588496c09810d69edd81330ede949a8d0d61,0,0,0,1,17.0,16.0,68.0,59.0,28.0,23.0,11.0,10.0,15,"waltz-tools/src/main/java/com/wepay/waltz/tools/cluster/ClusterCli.java: [Change Variable Type(44), Rename Variable(32), Inline Method(25), Extract Method(17), Change Parameter Type(8), Replace Loop With Pipeline(5), Parameterize Variable(4), Inline Variable(3), Rename Class(2), Change Attribute Type(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/cluster/ClusterCliTest.java: [Add Method Annotation(3), Change Method Access Modifier(2)]"
com.wepay.waltz.tools.client.ClientCli$Validate,processCmd,56 -> 58,ded8b29109c16332f700ef4961d50e382e39b40c -> 73cd4f379e4b75d9b019df122771c20949f18442,0,0,0,8,5.0,4.0,39.0,39.0,11.0,9.0,9.0,9.0,9,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Change Variable Type(8), Rename Variable(4), Move Class(2), Add Class Modifier(2), Add Method Modifier(2), Move Method(2)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,checkServerToStorageConnectivity,140 -> 144,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> fd931c54a991e429d5383ebccc892424b55d3261,0,0,0,4,3.0,1.0,5.0,15.0,2.0,3.0,1.0,4.0,6,"waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(66), Change Variable Type(12), Rename Variable(12), Change Return Type(8), Inline Method(7), Add Method Annotation(6), Add Thrown Exception Type(3)]"
com.wepay.waltz.test.util.IntegrationTestHelper,setWaltzStorageAssignmentWithPort,62 -> 371,5879335b5a4339972e301c5a3de89a17d363e981 -> 132d0c2d0d9ab2eb3021789647dc914f4904611f,9,2,7,16,2.0,2.0,10.0,5.0,4.0,7.0,4.0,2.0,4,"waltz-test/src/main/java/com/wepay/waltz/test/util/IntegrationTestHelper.java: [Extract Method(24), Rename Method(4)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient$WaltzClientHandlerCallbacksImpl,onCheckStorageConnectivityResponseReceived,87 -> 140,0d7623fb7ff7145354e6462e7a7765c926f4dbfb -> 1e3089b61a94a785b6040ffb0598e61cf7b0a33a,0,0,0,6,0.0,0.0,8.0,9.0,4.0,5.0,3.0,2.0,5,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
com.wepay.waltz.client.AbstractClientCallbacksForJDBCTest,testDatabaseDown,96 -> 98,de30a932d378e5c4f250a4f020796637f2b63453 -> 2f5df409b4032097c148a9c455268ef3aaaba776,0,0,0,2,5.0,8.0,43.0,58.0,18.0,17.0,5.0,5.0,17,waltz-client/src/test/java/com/wepay/waltz/client/AbstractClientCallbacksForJDBCTest.java: [Extract Method(18)]
com.wepay.waltz.tools.cluster.ClusterCli$Verify,buildZookeeperPartitionAssignmentsValidation,165 -> 166,17179ff98359992bf666a3e9bdeaa7925c53d19c -> e4187ae74a0a6004d1e455103b4f5d42de3817f3,0,0,0,1,5.0,5.0,34.0,28.0,7.0,7.0,10.0,9.0,7,"waltz-tools/src/main/java/com/wepay/waltz/tools/cluster/ClusterCli.java: [Extract Method(23), Parameterize Variable(4), Add Parameter(3), Remove Parameter(3)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,checkServerToStorageConnectivity,87 -> 140,0d7623fb7ff7145354e6462e7a7765c926f4dbfb -> 1e3089b61a94a785b6040ffb0598e61cf7b0a33a,27,10,17,6,1.0,3.0,15.0,5.0,3.0,2.0,4.0,1.0,6,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
com.wepay.waltz.tools.client.ClientCli$ClientCliBaseClass$ProducerTxnCallbacks,applyTransaction,222 -> 229,f350856e47114d5410b7f9a0093f08b966126136 -> ebff88268c656509b0dc93e218cc8e54ad023135,0,0,0,4,3.0,3.0,11.0,10.0,6.0,5.0,2.0,2.0,6,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Pull Up Attribute(20), Move Class(12), Change Attribute Access Modifier(10), Change Method Access Modifier(8), Pull Up Method(8), Extract Superclass(3)]"
com.wepay.waltz.tools.cluster.ClusterCli$CheckConnectivity,processCmd,140 -> 144,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> fd931c54a991e429d5383ebccc892424b55d3261,0,0,0,4,14.0,10.0,34.0,26.0,18.0,14.0,6.0,5.0,14,"waltz-tools/src/main/java/com/wepay/waltz/tools/cluster/ClusterCli.java: [Change Variable Type(44), Rename Variable(32), Inline Method(25), Extract Method(17), Change Parameter Type(8), Replace Loop With Pipeline(5), Parameterize Variable(4), Inline Variable(3), Rename Class(2), Change Attribute Type(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/cluster/ClusterCliTest.java: [Add Method Annotation(3), Change Method Access Modifier(2)]"
